Question,A,B,C,D,Correct Answer,Feedback / Explanation
A net leasing agreement would require the lessee to pay his share of all of the following EXCEPT:,property taxes.,janitorial expenses.,(a leasing) commission.,property insurance.,C. (a leasing) commission,"With a net lease, the lessee (tenant) not only pays rent for occupancy but also pays maintenance and operating expenses such as taxes, insurance, utilities, maintenance, and repairs. The lessor (owner) would pay the leasing commission. In a true net lease, the tenant is responsible for expenses relating to the premises exactly as if the tenant were the owner. The rent paid is ""net"" to the lessor. This kind of lease is popular with investors who want to obtain a steady stream of income without having to handle the problems associated with management and maintenance. Commercial or industrial leases, ground leases, and long-term leases are typically net leases."
"On the last day of a 90-day exclusive agency listing, broker Jones submits a list of names of people with whom he negotiated to the seller. Broker Jones accidentally left out Adams' name. One week later, the owner sells to Adams. Which of the following is correct?",The owner is liable for half of the commission.,The owner is not liable for any commission.,Adams is liable for the full commission.,The owner is liable for the full commission.,B. The owner is not liable for any commission,"A safety clause in an exclusive agency listing requires the broker to submit the names of all prospective buyers with whom he/she negotiated prior to the expiration of the listing. If the owner sells to a name that is not submitted per the safety clause, the seller will generally not be liable for a commission to the broker. NOTE - If Adams' name was included, a commission would be owed, however since it was omitted the seller would not owe any commission."
A contract signed under duress is:,void,voidable,unenforceable,illegal,B. voidable,Duress is a threat whereby a person is forced to do some act against his/her will. The person who was forced to perform under a threat has the right to void the agreement or let it stand. NOTE -- When a contract is said to be voidable one person who is a party to the contract has the right to void the contract.
A listing that does not require a broker to use diligence in obtaining a purchaser is:,illegal,void,a bilateral contract.,not an exclusive listing,D. not an exclusive listing,"An exclusive listing is an agreement in which the seller agrees to appoint only one broker to sell the property. For this reason, it must include a promise by the broker to use diligence in finding a buyer. Therefore if a listing is not exclusive such as the case in an open listing, the broker is then not required to use diligence in finding a buyer."
"A licensed real estate broker is successful in securing a buyer for a property who is ready, willing and able to buy. The offer is accepted and signed by both parties and escrow is opened. During the escrow period, the title company discovers that the seller is under 18 years of age and notifies the broker and the escrow holder. Under these circumstances, the contract is:",outlawed.,void.,valid,voidable.,D. voidable,Contracts entered into by minors (individuals under the age of 18 in most jurisdictions) are generally considered voidable.
The lessee of an apartment and the owner of a condominium have many things in common. Which of the following is true for both?,They each hold an estate of inheritance,They each hold a less than freehold estate,They each hold a fee interest,They each hold an estate in real property,D. They each hold an estate in real property,"Although the type of estates are different, the thing they have in common is that they each have an estate in real property. Remember that an ""estate"" is simply an ""interest in real property."" A condo owner has a fee interest and an estate of inheritance. The lessee has a less-than-freehold estate. They each have an estate. A lease is personal property, it is also less-than-freehold estate."
To whom does a listing belong?,listing agent,seller,broker,broker and agent,C. broker,"This is true even if the listing was prepared by a salesperson. Representation contracts are always created at the broker level. If the salesperson moved to another brokerage, the listing would stay with the broker who sponsored that salesperson when the listing contract was entered into."
A lease where the rent is based on a percentage of the monthly or annual gross sales of the lessee is called a:,sandwich lease.,net lease,percentage lease.,a gross lease,C. percentage lease,Percentage Lease is a lease whose rental is based on a percentage of the monthly or annual gross sales made on the premises.
"Broker Williamsburg obtained an exclusive authorization and right to sell listing from the owner of a residence. During the listing period, Williamsburg found a buyer who made an offer that was accepted by the owner. Neither the offer nor the escrow instructions made any mention of Williamsburg being the agent, or of the payment of a commission. Under these circumstances:",Williamsburg is still legally entitled to a commission.,Williamsburg will have no legal right to enforce commission collection.,Williamsburg is subject to disciplinary action by the commission for negligence.,Williamsburg must prove he was the client in the relationship.,A. Williamsburg is still legally entitled to a commission,"Williamsburg has earned his commission because the terms of the exclusive authorization and right-to-sell listing contract with the seller have been met. Exclusive right-to-sell listings guarantee the broker a commission, regardless of who finds a buyer."
Which of the following would not be a required payment for the lessee under a net lease?,Lease commission,Janitorial expenses,Property taxes,Insurance,A. Lease commission,The lease commission is paid by the landlord.
"Thinking that he is acting properly regarding the safety clause in a listing, a broker notifies the owner verbally of a prospective buyer with whom he negotiated. The day after the listing expires, the buyer purchases the property. Which of the following is correct?",The broker is entitled to one half of the commission,The broker is not entitled to any commission,The broker is entitled to a commission,The matter would need to go to board arbitration to be resolved,B. The broker is not entitled to any commission,"A safety clause in a listing requires the broker to submit the names of all prospective buyers with whom he/she negotiated in writing, not verbally."
"To have a valid contract, which of these is not necessary?",Competent parties,Compensation,Lawful object,A deed,D. A deed,"A deed transfers title to property and thereafter evidences ownership. It is not a part of the contract nor is it necessary to complete a transaction unless made a part thereof. Compensation is just another way of saying ""consideration."""
"Brown leases a residence from Baker on a three-month written lease. When the written lease expires, Brown retains possession of the property without the consent of Baker. Brown now holds a(n):",periodic tenancy subject to eviction.,estate for years.,estate at sufferance.,estate at will.,C. estate at sufferance.,An estate at sufferance is defined as one in which a lessee rightfully comes into possession of the land and retains possession after the expiration of the lease.
"Broker Jack listed Jill's home under an exclusive right-to-sell listing and later received an offer from another licensee, Amanda, that met all of the listing terms and conditions. After considering the offer, Jill informed Jack that she no longer wished to sell, and asked to be released from the listing agreement immediately. Which of the following is a TRUE statement about Jack's position in this situation?",Jack may keep the earnest money that accompanied the offer as liquidated damages,Jack must tell Jill that Amanda may sue for specific performance,Jack may succeed in collecting an earned commission from Jill,Jack must release Jill without obligation,C. Jack may succeed in collecting an earned commission from Jill,"In an exclusive right-to-sell listing, the listing broker gets paid a commission if the property is sold by anyone, including another broker or the seller, during the term of the listing agreement. If a valid offer is made that meets all the terms and conditions of the listing agreement and the seller then refuses to sell, the broker (Jack in this scenario) has technically fulfilled their end of the contractual agreement by producing a ready, willing, and able buyer. Therefore, Jack may be entitled to the agreed-upon commission, regardless of whether the sale completes, because he has performed his duties under the terms of the exclusive right-to-sell listing agreement. While Amanda, as the buyer, might have grounds to sue for specific performance to enforce the sale, this statement does not reflect Jack's position regarding the listing agreement with Jill. Earnest money disputes typically occur between the buyer and seller, not between the seller and the listing broker. The earnest money is not automatically entitled to the broker; it is intended as a good faith deposit to be credited toward the purchase price or returned depending on the terms of the purchase agreement and applicable state laws. Jack is not obligated to release Jill without obligation, especially since a valid offer was received that met the listing agreement's terms. While he might choose to release her for various reasons (e.g., maintaining a good relationship or avoiding legal disputes), he is not legally required to do so without any consequences."
A listing broker agrees verbally to split a commission with a selling broker. The listing broker now refuses to do so. The selling broker should:,sue the listing broker.,notify the Bureau of Real Estate,do nothing since the agreement was verbal.,contact the MLS.,A. sue the listing broker.,"A verbal agreement between two brokers to split a commission is enforceable. The selling broker's recourse would be to sue the listing broker. The ""selling broker"" is the one who brings in the offer. NOTE - in real estate the term ""selling broker"" is a commonly used verbiage that refers to the buyers agent."
"The word ""laches"" most nearly pertains to:",failure to do something within a prescribed time.,failure to do something.,doors and other swinging items,doing something within a prescribed time,A. failure to do something within a prescribed time.,"Laches means failing to do something which should have been done, i.e., to file a claim or to enforce a right, all within a prescribed time. Closely related to this, the Statute of Limitations outlines actions that can be brought within a certain time frame."
A verbal agreement between two brokers to split a commission is:,unenforceable.,voidable.,void under the Statute of Frauds.,enforceable.,D. enforceable.,A verbal agreement between two brokers to split a commission is enforceable and is one of the exceptions to the Statute of Frauds.
Which of the following lists the essential elements of a valid contract?,"Tender, consideration, deposit, performance","Acceptance, consideration, performance, lawful object","Lawful object, competency, mutual consent, consideration","Execution, consideration, mutuality, competence","C. Lawful object, competency, mutual consent, consideration","There are four essentials to all contracts: A lawful object: It must be legal. Competency: Parties capable of contracting. Mutual consent: Their consent which includes the offer and acceptance. Consideration: A sufficient consideration. This can be love or affection, but it's usually money."
Which type of lease requires the lessee to pay a flat rent?,Percentage lease,Gross lease,Net lease,Sandwich lease,B. Gross lease,"A gross lease is a lease where the lessee pays a fixed rent and the lessor pays the taxes, insurance, and other charges regularly incurred through ownership."
"An agent acquired a listing for a house and orally promised to hold an open house every week until the house was sold, but knew it was unrealistic to hold one every week. The agent held two open houses during the 90 day listing. This is an example of:",constructive fraud,actual fraud.,illusory fraud.,deliberate fraud.,B. actual fraud.,"Constructive fraud is a breach of duty as by a person in a fiduciary capacity, without an actual fraudulent intent. Actual fraud is an act intended to deceive another; e.g., making a false statement or false promise without intending to perform it."
The broker's promise to use diligence in finding a buyer during an exclusive right-to-sell listing:,makes the listing a unilateral contract.,makes the listing voidable by the owner.,None of the other options are correct.,makes the listing a bilateral contract.,D. makes the listing a bilateral contract.,"A bilateral contract is a contract in which each party promises to perform an act in exchange for the other party's promise to perform. An exclusive right-to-sell listing is an example of a bilateral contract with the broker agreeing to use their best efforts (diligence) to locate a ready, willing, and able buyer, while the seller promises to pay the broker a commission if the property is sold."
Antitrust laws prohibit all of the following EXCEPT for:,two real estate firms agreeing to not cooperate with another brokerage because of their low fees.,competing property management companies agreeing to standardized management fees.,competing brokers allocating market shares based on the value of homes.,a broker setting a company-wide commission schedule.,D. a broker setting a company-wide commission schedule.,"Real estate brokers can independently determine commission rates or fees for their own firms, but they can't create agreements with competing firms to do the same- this is called ""collusion"". Decisions about commission rates must be based on a broker's business judgment and revenue requirements and without input from other competing brokers. Standardizing management fees between competing brokerages and allocating market shares between competing brokerages based on home value also violate anti-trust laws."
"A seller had a listing with ABC firm. The listing expired after 90 days and the seller never renewed the contract. Six months after the listing expired, a new agent started with ABC firm and came across the unsold listing. He wanted to call the seller but noticed the seller's number on the National Do Not Call Registry. Can the agent contact the seller?","No, because the seller's number is on the National Do Not Call Registry- even if the seller is currently active","Yes, because the firm has had a relationship with the seller in the last 18 months","Yes, because the firm has had a relationship with the seller in the last 3 months","No, because the seller's number is on the National Do Not Call Registry and the seller never contacted the agent to re-list the house","B. Yes, because the firm has had a relationship with the seller in the last 18 months","A vendor (in this case, the real estate agent) may call a consumer with whom it has an established business relationship for up to 18 months after the consumer's last contact - even if the consumer's number is on the National Do Not Call Registry. There is one caveat: if a consumer asks a specific company not to call, the company may not call, even if there is an established business relationship. A company may not call a consumer - regardless of whether the consumer's number is on the registry - if the consumer has asked to be put on the company's own do not call list. NOTE - This question is asking about customers who have had an established business relationship with a company- they can be contacted up to 18 months later. Consumers who have only made an inquiry (no established relationship) may be contacted up to 3 months later."
"Which of the following must be done before placing a ""For Sale"" sign on a listed property?",All of the other options are correct,Obtain the property owner's consent,Get the neighbor's permission,List the property,B. Obtain the property owner's consent,"A broker may install a ""for Sale"" sign on a property only after obtaining permission from the owner of the property."
The position of trust assumed by the broker as an agent for the client is described most accurately as a,confidential relationship.,trustee relationship.,trustor relationship.,fiduciary relationship.,D. fiduciary relationship,"A fiduciary is a person who holds a legal or ethical relationship of trust with one or more other parties (person or group of persons). Typically, a fiduciary prudently takes care of money or other assets for another person."
The prime obligation of an agent to their client is:,loyalty.,deference.,respect.,mutual trust.,A. loyalty,"The relationship between a real estate agent and a client is called a fiduciary relationship. A fiduciary is a person who acts on behalf of another person. The core fiduciary duties are: Loyalty, Confidentiality, Disclosure, Obedience, Reasonable care, and Accounting."
The principal to whom a real estate agent gives advice and counsel is a:,subagent.,client.,customer.,fiduciary.,B. client,"The real estate agent has an ""agency"" relationship with a client, which generally means there is a contractual agreement. In this relationship the agent is the fiduciary, not the other way around. A customer has no contractual agreement with the agent, while a subagent refers to the relationship an agent can have with the buyer (if they aren't contracted directly by the buyer). When looking at questions like this it is important to go for the best option that is available."
"On Monday, a woman offers to sell her vacant lot to a man for $35,000. On Tuesday, the man counteroffers to buy the lot for $25,500. On Friday, the man withdraws his counteroffer and accepts the woman’s original price of $35,000. Are they under contract for the lot? Why or why not?","No, because the counteroffer invalided the original offer.","Yes, because the man accepted the woman’s offer exactly as it was made, regardless of the fact that it was not accepted immediately.","Yes, because the man accepted before the woman advised him that the offer was withdrawn.","No, because the woman’s offer was not accepted within 72 hours of its having been made.","A. No, because the counteroffer invalided the original offer.","Making a counteroffer is effectively refusing the original offer and making a new one. The original offer is ""dead"" and cannot be accepted after making a counteroffer. In this case, if both parties actually were willing to agree to the $35k, the man would have to withdraw his counter and make a new counter at $35k (which she would then have to accept) or the woman would have to counter at $35k and he would have to accept."
What is the latest time at which a broker must establish their agency relationship with a buyer or seller and execute all such agreements?,Prior to any sale closing,At any time after a purchase and sales agreement is executed,At the time of the first business contact,No later than the time at which a purchase and sale agreement is prepared,D. No later than the time at which a purchase and sale agreement is prepared,"Usually a broker's agency relationship with a buyer or seller is established early on in the process. But if for some reason it's not, the agency relationship between broker and client must be established, and all agreements executed, by the time a purchase and sale agreement is prepared."
Procuring cause would not be required for a broker to receive a commission in a(n):,multiple listing.,exclusive right to sell listing.,open listing.,exclusive agency listing.,B. exclusive right to sell listing,"An ""exclusive right to sell"" listing is an agreement under which a real estate agent has the sole right to sell a specified property, usually within three months. During this period the seller cannot list the property with any other agent and (unlike in exclusive listing) must pay the agent's commission even if he or she (and not the agent) finds a buyer."
"If Carol wishes to sell her own house, does she need a real estate license?",She does not need a license,She may obtain a temporary license to do this,If she is an attorney she will not need a license,She must have a license issued by the real estate commission,A. She does not need a license,An owner selling her own property is exempt from real estate licensing requirements.
A real estate broker was responsible for a chain of events that resulted in the sale of one of his client’s properties. The broker is legally called the,compensable cause.,responsible party.,initiating factor.,procuring cause.,D. procuring cause,"Commission disputes boil down to what is referred to in the industry as ""procuring cause."" The agent who ultimately caused the buyer to purchase the home and earned the commission is generally the procuring cause agent."
"Vivian had listed her property under an exclusive agency agreement with David, but when the agreement expired, she changed to a new agency. Now, David has a buyer who is interested in the property. Which of the following statements is correct?",David is a dual agent and can represent both.,David cannot represent the buyer.,David cannot give the buyer any information about the physical condition of the property.,David cannot disclose any offers received on the property while he was the listing agent.,D. David cannot disclose any offers received on the property while he was the listing agent,"Because David has prior information on the property, he must be careful about what information he shares with the potential buyer. David must maintain confidentiality regarding any offers received on this property while he was the listing agent, although he must disclose anything he knows about the material condition of the property. And since David no longer has an agency relationship with Vivian, he is free to represent the new buyer as a buyer's agent without getting into dual agency."
The real estate broker representing a seller is usually:,a factor agent.,an ostensible agent.,a special agent.,a general agent.,C. a special agent,"In real estate, a special agent (or ""specific agent"") is an agent hired to perform a specific duty for a client. The real estate agent's authority is limited to the specific job for which they are hired. This is in contrast to ""universal"" or ""general"" agents which are responsible for several duties (show and rent apartments, supervise maintenance, do the bookkeeping, etc)."
A broker and seller terminate the listing contract. An offer is received in the mail by the broker after the termination of the listing contract. The offer is for full price and includes all of the terms and conditions of the seller. Why is this NOT a valid contract?,There is no current listing agreement.,No earnest money has been enclosed.,No acceptance has been given.,There is no consideration involved.,C. No acceptance has been given,"It has not been presented to or accepted by the owner. Remember, contracts aren't valid until both parties agree. However, even though the listing agreement has expired, the offer should be presented. If it's accepted and the transaction closes, the broker will generally be entitled to his or her full commission. NOTE- while there's no listing agreement here, that's not what makes the offer ""NOT a valid contract""- it's the lack of 1 of the 4 essentials of a valid contract that makes it so (consideration has been offered, but no acceptance of the offer has been made)."
Ivonne represents the Sparks who are selling their property. Which of the following actions must Ivonne take when prospective buyers ask to see the property?,"Inform them, either orally or in writing, that she represents a certain brokerage.",She may show them the property without any required disclosures or agreements.,Inform them that she represents the seller's interests.,Inform them that they must complete a buyer representation agreement.,C. Inform them that she represents the seller's interests,Ivonne must disclose that she represents the seller so the buyer correctly understands the agent's relationship in a real estate transaction.
"Arthur, a licensed principal real estate broker, was sued for conversion. This means Arthur allegedly did which of the following?",Failed to maintain a positive balance in his clients' trust account.,Misappropriated his client's funds.,Failed to reconcile his clients' trust account in a timely manner.,Commingled the client's trust account funds with his own.,B. Misappropriated his client's funds,"Conversion is the misappropriation of client funds, and misappropriation is the intentional, illegal use of the property or funds of another person for one's own use or other unauthorized purpose. This is different than commingling, which is the inappropriate mixing of client funds with broker funds."
"What type of a listing agreement allows the owner to appoint an exclusive agent to sell his property, but retains the right to sell the property himself without paying a commission?",exclusive agency,open,exclusive right to sell,multiple listing,A. exclusive agency,"Open listings mean that if the owner or any other broker or salesperson produces the buyer, the broker will lose his or her commission. Exclusive Right to Sell gives the broker his or her commission regardless of who actually sells the property, even if it is the owner. Exclusive Agency allows the seller to appoint an exclusive agent, but retain the right to sell the property himself."
"Broker Jim with ABC Realty listed a property for a seller. Broker Bill with XYZ Real Estate Co. called Broker Jim and disclosed that he was a buyer's agent. Broker Bill wrote a contract with the buyer for the purchase of the property. What, if any, is the relationship between Broker Bill and Broker Jim?",Customer,Dual agency,There is no relationship- broker Jim represents the seller and broker Bill represents the buyer separately,Agency relationship,C. There is no relationship- broker Jim represents the seller and broker Bill represents the buyer separately,"Since each broker represents separate sides in the transaction and each works for a different real estate firm, no relationship exists between the two brokers."
"If the buyer defaulted some time ago on a written contract to purchase a seller's real estate, the seller can still sue for damages, if he is not prohibited from doing so by the:",law of agency.,statute of limitations.,broker-attorney accord.,statute of frauds.,B. statute of limitations.,"Statutes of limitations exist to keep the legal system from getting bogged down in old disputes and allow for evidence and recollections to remain reasonably fresh. Civil limitations typically range from one to six years, though in some cases up to twenty-five years."
"Dan is house shopping and contacts a real estate office. He tells the agent, Stephen, that he is interested in the area but is not ready to sign any agreements just yet. Stephen can be helpful and accommodating with all of the following actions except:",providing information on properties for sale in the area.,providing information on mortgage interest rates and terms.,pre-qualifying Dan for a mortgage.,"explaining to Dan about buyer agency, seller agency, and dual agency.",C. pre-qualifying Dan for a mortgage.,"Stephen cannot obtain confidential information about Dan without first entering into a buyer agency relationship, so Stephen may NOT prequalify Dan for a mortgage.

NOTE - This question says ""Stephen can be helpful... with many actions EXCEPT"" which means it's looking for a false answer, and it's false that Stephen can pre-qualify Dan for a mortgage."
Which of the following would not terminate an agency relationship?,Revocation by the principal,Fulfillment of the agency purpose,Abandonment by the agent,An agent submitting two offers at the same time,D. An agent submitting two offers at the same time,"Submitting offers doesn't end the relationship. Fulfillment of the agency purpose by the owner's acceptance of one, and ultimately closing on the transaction, terminates an agency relationship. Revocation by the principal or abandonment by the agent also terminates an agency relationship, but can result in breach of contract if there's a listing agreement."
When must an agency disclosure statement be given to prospective purchasers/tenants by a real estate licensee?,at the closing table,immediately after the purchase or lease agreement is signed,"at the first substantive meeting of the licensee and prospective purchasers/tenants, before any offer to purchase is prepared or presented",when the client asks for it,"C. at the first substantive meeting of the licensee and prospective purchasers/tenants, before any offer to purchase is prepared or presented","The general rule for when a real estate licensee must give prospective purchasers or tenants an agency disclosure statement is at the first substantive contact. This means before entering into a formal agency relationship or exchanging confidential information, which could materially affect the prospective purchaser's or tenant's decision-making process regarding a real estate transaction.

This requirement aims to ensure transparency and protect consumers by informing them about the nature of their relationship with the real estate professional. This clarification includes explaining whether the agent is working as a representative for the seller (seller's agent), the buyer (buyer's agents), both parties (dual agency), or providing a transactional service without agency representation. This early disclosure helps establish clear expectations and allows consumers to make informed decisions about how they proceed in their real estate transactions."
What law prescribes the rights and duties between a property manager and his clients?,The fair housing act,The statute of frauds,The statute of limitations,The laws of agency,D. The laws of agency,"The laws of agency are an area of contractual or commercial law dealing with fiduciary relationships that involve a person, called the agent, who is authorized to act on behalf of another (called the principal)."
Which of the following does not have to be included in a written listing agreement?,the broker fee,the time duration of the listing,the asking price,the complete legal description of the property being sold,D. the complete legal description of the property being sold,"The legal description is not required in most areas, and an adequate description such as the property address is satisfactory."
"Douglas, a broker, has entered into a listing agreement with a seller. Oscar is a different broker who has been working with the buyer and learns of the property through the MLS. Who would Oscar represent?",The seller as an agent.,The buyer as a subagent.,The buyer as an agent.,The seller as a subagent.,C. The buyer as an agent.,"Because Oscar, the second cooperating broker in this case, has been working with the buyer, he would represent her as a buyer's agent."
A valid contract employs someone to do specific legal tasks which involve representing the interests of the client to a third party. What kind of relationship is created by the contract?,Lis pendens,Fee simple,Agency,Owelty,C. Agency,The principal and agent create an agency relationship. This is a business relationship where a principal gives legal authority to an agent to act on the principal's behalf when dealing with a third party. An agency relationship is a fiduciary relationship.
A real estate licensee has a buyer agency agreement. What is the relationship of the seller to the licensee in this situation?,Customer,Client,Agent,Fiduciary,A. Customer,"There's an important distinction between client and customer. Unless there is a specific agreement to the contrary, licensees represent only one side in a transaction and the person they represent is their client- everyone the licensee doesn't represent is a customer. In this case, the licensee represents the buyer so the seller is a customer to the licensee."
The principal theme of federal fair housing laws is to,ensure all Americans a fair chance to own a home,prohibit discrimination in housing transactions,ensure that housing transactions are negotiated fairly,prohibit agents from dealing unfairly with clients and customers,b,Federal and state governments have enacted laws prohibiting discrimination in the national housing market
"It is illegal to discriminate in selling a house based on race, color, religion, or national origin. This is provided for through",the Civil Rights Act of 1866,Executive Order 11063,the Civil Rights Act of 1968,the Fair Housing Amendments Act of 1988,c,"Title VIII of the Civil Rights Act of 1968, known today as the Fair Housing Act, prohibits discrimination in housing based on race, color, religion, or national origin"
"Which of the following laws or rulings extended discrimination to include gender, handicapped status, and family status?",Executive Order 11063,the Civil Rights Act of 1968,the Fair Housing Amendments Act of 1988,Jones v Mayer,c,"The Fair Housing Amendments Act of 1988 prohibited discrimination based on sex and discrimination against handicapped persons and families with children. Executive Order 11063 concerned racial discrimination in housing where federal funding was involved; the Civil Rights Act of 1968 concerned discrimination based on race, color, religion, and national origin; Jones v Mayer concerned racial discrimination"
"An agent informs numerous families in a neighborhood that several minority families are planning to move into the immediate area, and that the trend could have adverse effects on property values. This activity is",blockbusting,legal but unprofessional redlining,discriminatory misrepresentation,negligent misrepresentation,a,Blockbusting is the practice of inducing owners in an area to sell or rent to avoid an impending change in the ethnic or social makeup of the neighborhood that will cause values to go down
A minority family would like to buy a home in a certain price range. The agent shows the family all available properties in a neighborhood of families with similar backgrounds. The agent did not mention a number of homes in the family's price range in other neighborhoods. This agent could be liable for,blockbusting,providing unequal services,steering,nothing; his services were legal and acceptable,c,"Steering is the practice of directly or indirectly channeling customers toward or away from homes and neighborhoods. Broadly interpreted, steering occurs if an agent describes an area in a subjective way for the purpose of encouraging or discouraging a buyer about the suitability of the area"
"An agent does not like a particular minority buyer, and is very short with the person, refusing to engage in lengthy conversation or show him any properties. A second minority party visits the office the next day. The agent is very forthcoming, and shows the person five prospective properties. This agent could be liable for",providing unequal services,steering,misrepresentation,"nothing; both parties were minorities, and therefore no discrimination occurred",a,"The agent may be illegally providing unequal services by altering the nature or quality of brokerage services to a party based on race, color, sex, national origin, or religion"
"Following the client's recommendation, an agent conceals the availability of a property from an employed but pregnant and unmarried minority woman. This agent could be liable for",discriminatory misrepresentation,steering,violating fiduciary duty,nothing: an agent may show or not show any property at his or her discretion,a,"Discriminatory misrepresentation means an agent may not conceal available properties, represent that they are not for sale or rent, or change the sale terms for the purpose of discriminating"
A condominium complex prohibits ownership of any unit by persons under 55 years of age. The association claims it has made the prohibition properly. Which of the following is true?,They are violating the Civil Rights Act of 1866,They are violating the Fair Housing Amendments Act of 1988,They are guilty of age discrimination,The prohibition may be legal,d,"Federal fair housing laws do not prohibit age and family status discrimination under the following circumstances:  •in government-designated retirement housing  •in a retirement community if all residents are 62 years of age or older  •in a retirement community if 80 % of the dwellings have one person who is 55 years of age or older, provided there are amenities for elderly residents  •in residential dwellings of four units or less, and single family houses if sold or rented by owners who have no more than three houses"
"An owner suddenly pulls a property off the market after hearing from the agent on the phone that the agent had received a full-price offer from a minority party. The agent then informs the offeror that the home has been removed from the market and is unavailable. Which party or parties, if any, have violated fair housing laws?",The agent only,The owner only,The agent and the owner,Neither agent nor owner,c,"The owner has illegally discriminated, and the agent, by going along with the owner, is equally guilty of violating fair housing laws"
Real estate trade associations promote a code of ethics primarily to establish,minimum standards of practice as imposed by law,fair housing law,high standards of practice for all facets of the business,grounds for license revocation,c,Trade associations representing the real estate industry have instituted their own codes of ethics and professional practices covering every facet of brokerage activity. The standards of most of these codes concern the following general areas of practice
The parts of the Americans with Disabilities Act that most concern real estate agents are those that deal with,telecommunications and insurance,public accommodations and employment,state and local government,agency and public service,b,Real estate practitioners are most likely to encounter Titles I and III and should acquire familiarity with these.  Title I (Employment) concerns equal employment opportunity. It is enforced by the U.S. Equal Employment Opportunity Commission.  Title III (Public Accommodations) concerns nondiscrimination in public accommodations and commercial facilities. It is enforced by the U.S. Department of Justice
"If a licensee knows a negative material fact about a client’s property that the client has not disclosed, the licensee must",keep the fact confidential,report the seller to the local real estate board,disclose the information to others,change the seller’s disclosure form,c,"The residential property re-seller must comply with the property condition disclosure requirement whether an agent is employed in the transaction or not. If an agent is involved in the transaction, the agent must disclose any and all material facts he or she knows or should reasonably know about the property, regardless of what the seller may have disclosed on the form"
How does CERCLA concern real estate agents?,It may cause them to be held liable for improper disclosure of potential violations,It requires them to conduct Phase II Environmental Site Assessments,It makes them subject to Environmental Protection Agency orders,It absolves them of any responsibility for  knowing about environmental hazards,a,"Under CERCLA and the Superfund Amendment of 1986, current landowners as well as previous owners of a property may be held liable for environmental violations, even if “innocent” of a violation. Sellers often carry the greatest exposure, and real estate licensees may be held liable for improper disclosure"
Which of the following is a fact about home warranties that an agent should be sure a client knows?,"If the homeowner has paid an annual fee for the warranty, there are no additional charges for service",Conditions that pre-existed the coverage date of the warranty will not be covered,Any item that is not specifically excluded in the warranty contract may be assumed to be covered,Warranties are usually purchased to cover the full term of the mortgage loan,b,"Purchasers of home warranties need to fully understand their coverage limitations in order to have realistic expectations of the warranty. Similarly, it is important for a homeowner to understand what may not be covered in the warranty. These items include conditions that existed prior to the effective coverage of the warranty"
What is an agent’s duty regarding inspections?,Personally conduct a detailed inspection of all major structures and systems,Accompany all inspectors as they inspect the agent’s listed property,"Disclose the result of any inspection, if known to the agent",Interview and hire inspectors for clients,c,"Most states require disclosure of known material facts regarding residential properties of one to four units. If a licensee knows the result of an inspection, this is a material fact to be disclosed"
Which of the following statements describes the primary aim of fair housing laws?,To provide housing assistance to individuals with disabilities,To provide an equal housing opportunity to all regardless of financial qualifications,To provide an equal housing opportunity without impediments of discrimination,To provide equal employment opportunities to all regardless of race or gender,c,"The aim of these fair housing laws, or equal opportunity housing laws, is to give all people in the country an equal opportunity to live wherever they wish, provided they can afford to do so, without impediments of discrimination in the purchase, sale, rental, or financing of property"
"The original fair housing statute prohibits discrimination in housing based on race.  It relates to selling, renting, inheriting, and conveying real estate.  This statute is known as the",Fair Housing Statute,Civil Rights Act of 1866,Housing Transactions Act of 1900,Executive Housing Act,b,"The original fair housing statute, the Civil Rights Act of 1866, prohibits discrimination in housing based on race. The prohibition relates to selling, renting, inheriting, and conveying real estate"
"In 1962, the President of the United States issued an executive order to prevent discrimination in residential properties financed by FHA and VA loans and facilitated the enforcement of fair housing where federal funding was involved.  The executive order was known as",Executive Order 11063,Presidential Executive Order 1962-1,Presidential Executive Order for Fair Housing,Presidential Order of 1962,a,"While the Civil Rights Act of 1866 prohibited discrimination, it was only marginally enforced. In 1962, the President issued Executive Order 11063 to prevent discrimination in residential properties financed by FHA and VA loans. The order facilitated enforcement of fair housing where federal funding was involved"
Today’s Fair Housing Act was originally known as,Civil Rights Act of 1962,Anti-Discrimination Law,Title VIII of the Civil Rights Act of 1968,Civil Rights and Discrimination Law,c,Title VIII of the Civil Rights Act of 1968 is known today as the Fair Housing Act
The Fair Housing Act prohibits discrimination in housing based on which of the following protected classes?,"income, number of children, ancestry, and gender","employment, educational background, and income","family size, marital status, credit score, and age","race, color, religion, national origin, sex, familial status, and disability",d,"The Fair Housing Act prohibits discrimination based on the following categories of protection: race, color, religion, national origin, sex, familial status and disability.  The states and local entities may have additional protected classes"
Which of the following is an example of discriminatory advertising?,Advertising only in a newspaper that is written in Polish,Advertising that a listed property is located in a great school district,Advertising that a retail shopping center offers a wide variety of goods and services,Advertising that highlights the positive features of the property,a,Advertising exclusively in this way would restrict availability to a prospective buyer or tenant that does not have access to the Polish publication and does not speak Polish
