Question,A,B,C,D,Correct Answer,Feedback / Explanation
"Charles created a life estate for his mother. Upon his mothers death, Charles will have his daughter Mary move into the condominium where his mother lived. Mary, who will have a future interest, is known as the",reversion,dower,curtesy,remainderman,d,"If a life estate names a third party to receive title to the property upon termination of the life estate, the party who has a future interest is called a remainderman"
"Lisa grants a life estate for Caregiver Joanne, over the lifetime of Lisas mom. Upon the death of Lisas mom, Lisa grants her niece the right to receive the property. What type of conventional life estate did Lisa create?",Legal,Pur autre vie,Fee simple estate,Defeasible estate,b,"The pur autre vie life estate extends over the lifetime of a third person, after which the property passes from the tenant holder to the original grantor (reversion) or a third party (remainderman)"
A 3-story residential property is being considered for eminent domain. The landlord has allowed the current tenants to reside until the property has been condemned. What type of a leasehold estate did both parties agree to?,An estate for years,An estate at sufferance,An estate at will,An estate in tenancy,c,"Also known as tenancy at will, an estate at will has no definite expiration date or renewal cycle, so long as the rent is paid timely and other lease conditions are met"
"Karen signed an estate for years with Draper Apartments. As the lessee, what type of rights will she have under this leasehold estate?",The right of possession,The right of disposition,The right of reversion,The right of absolute control,a,Leasehold tenants are entitled to possess and use the leased premises during the lease term in the manner prescribed in the lease
"The lessor and lessee signed a 1-year lease agreement.  Upon the expiration of the lease, the lessee failed to leave the apartment and continued to occupy the property without paying rent or obtaining the landlords consent. This rental situation is an example of which of the following?",An estate at will,An estate at years,An estate at sufferance,An estate for lifetime,c,"An estate at sufferance occurs when the lessor and lessee have an agreement initially, but  the lessee continues to occupy the property after lease expiration without the consent of the landlord"
Municipalities have the right to enact ordinances and zoning laws for the public good within their jurisdiction.  This governmental power is known as,eminent domain,escheatment,police power,taxation,c,"Police power, or the right of the local or county government to zone, is an enabling act whereby government powers are transferred to the local municipality to control land use for public good within the entitys jurisdiction"
A freehold estate of potentially unlimited duration is a ,fee simple estate,life estate,defeasible estate,leasehold estate,a,A freehold estate of potentially unlimited duration is a fee simple estate: an estate limited to the life of the owner is a life estate
A legal life estate is created by,federal law,state law,family members,freehold estates,b,A legal life estate is created by state law as opposed to being created by a property owner's agreement. Provisions vary from state to state. The focus of a legal life estate is defining and protecting the property rights of surviving family members upon the death of the husband or wife
The principal interests accompanying the legal life estate are the ,"remainderman, reversion and pur autre vie",freehold and leasehold estates,same as ordinary life estates,"homestead, dower and curtesy, and elective share",d,"The principal interests conveyable in a legal life estate are the homestead, dower and curtesy, and elective share"
Which of the following statements regarding the general provisions of the homestead laws is true?,"The homestead exemption is also known as the homestead tax exemption, which exempts a portion of the property's value from taxation",The homestead interest can be conveyed by one spouse; both spouses do not need to sign the deed conveying the homestead property,The homestead laws can be applied to any investment property that that is owned by a married couple,The homestead laws protect family members against losing their homes to general creditors attempting to collect on debts,d,A homestead is one's principal residence. Homestead laws protect family members against losing their homes to general creditors attempting to collect on debts
"If a tenant with a leasehold estate for years remains in possession of the leased premises after lease expiration, a(n) ___________ is created.",adverse lease,estate lease,hang-on lease,holdover lease,d,"If a tenant with a leasehold estate for years remains in possession of the leased premises after lease expiration, a holdover lease is created. In the absence of a new lease agreement stating otherwise, the holdover tenancy becomes a periodic tenancy."
"Two people own a house, each having an undivided equal interest.  Which of the following best describes what they own?",Each owns fifty percent of the physical house and the land it rests on,Each owns one hundred percent of the physical house and the land it rests on,"Each owns fifty percent of the estate represented by the real property, but no physical portion of the real property",Each owns one hundred percent of the estate represented by the real property and fifty percent of the physical house and the land it rests on,c,"An undivided interest is an owner's interest in a property in which two or more parties share ownership. The terms ""undivided"" and ""indivisible"" signify that the owner's interest is in a fractional part of the entire estate, not in a physical portion of the real property itself. If two co-owners have an undivided equal interest, one owner may not lay claim to the northern half of the property for his or her exclusive use"
An interest in real estate that includes the right to possess is considered,an estate in land,a freehold estate,a fee simple estate,an encumbrance,a,"Interests are principally distinguished by whether they include possession. If the interest-holder enjoys the right of possession, the party is considered to have an estate in land, or, familiarly an estate"
An interest in real estate that does not include the right to possess is considered,a leasehold interest,a fee simple estate,an encumbrance,a tenancy,c,"Interests are principally distinguished by whether they include possession. If a private interest-holder does not have the right to possess, the interest is an encumbrance"
The right to zone land and the right to acquire ownership of land by eminent domain are both examples of,a public interest,a possessory interest,an encumbrance,an estate in law,a,"Interests are principally distinguished by whether they include possession. If the interest-holder is not private, such as a government entity, and does not have the right to possess, the interest is some form of public interest"
"If the duration of an owner's rights in an estate cannot be determined, the owner possesses",an indeterminate legal estate,a leased fee simple estate,a freehold estate,a leasehold estate,c,"Freehold estates are ownership estates, and their duration cannot be determined; that is to say that the ownership rights may endure for a lifetime, for less than a lifetime, or for generations beyond the owner's lifetime"
The distinguishing feature of a leasehold estate is,ownership of an interest by a tenant,temporary ownership of the full bundle of rights in a property,unlimited ownership of one right in the bundle of rights in a property,duration limited by a lease term,d,"A leasehold estate is distinguished by its specific duration, as represented by the lease term. Further, leasehold tenants only enjoy limited property rights: use; temporary possession, and limited exclusion"
Which of the following is a freehold tenant?,The owner of a freehold estate,The lessee in a leased property,The lessee of a freehold estate,Any owner of an estate in land,a,The owner of the freehold estate is the freehold tenant
In what kind of estate does ownership revert to the grantor of the estate if usage fails to conform to a stated condition in the grant?,Fee simple absolute,Life estate with reversion,Life estate with condition subsequent,Fee simple defeasible,d,"The defeasible fee estate is perpetual, provided the usage conforms to stated conditions"
"Bob grants his sister Mary an estate for as long as she lives, but her heirs cannot inherit the estate.  What kind of estate is it?",An estate pur autre vie,An estate for years,An ordinary life estate,A legal life estate,c,An ordinary life estate ends with the death of the life estate owner and may pass back to the original owners or their heirs (reversion) or to a named third party (remainder)
"Homestead, dower and curtesy, and elective share are examples of",a conventional life estate,a legal life estate,an estate created by an owner's agreement,a fee simple absolute,b,"The major forms of legal life estate are the homestead, dower and curtesy, and elective share"
"To convey clear title in a dower and curtesy state,",both spouses must release their interest to the other spouse,both spouses must sign the conveyance,"there must be two separate conveyances, each signed by one spouse",the head of household must sign the conveyance,b,"To transfer property within dower and curtesy states, the husband (or wife) must obtain a release of the dower interest from the other spouse in order to convey clear title to another party. If both parties sign the conveyance, the dower right is automatically extinguished"
States that do not have dower and curtesy usually have either community property laws or,descent by escheat,elective share,share by the entireties,judicial election,b,Dower and curtesy laws have been largely supplanted by community property laws and elective share laws
Which of the following rights is conveyed with a leasehold estate?,The right to exclude everyone from the premises,The right to encumber the fee interest,The right to sell the premises,The right to possess and use the premises,d,Leasehold tenants are entitled to possess and use the leased premises during the lease term in the manner prescribed in the lease
An estate from period-to-period will continue as long as,"the tenant makes, and landlord accepts, regular rent payments",the term specified in the lease,the period is less than a year,the landlord has not given notice of termination,a,"In an estate from period-to-period, also called a periodic tenancy, the tenancy period automatically renews as long as the tenant pays rent in a timely manner and the landlord accepts it. At the end of a tenancy period, if the landlord accepts another regular payment of rent, the leasehold is considered to be renewed for another period. A conveyance of leased property does not cancel a leasehold interest"
An estate at will,cannot be terminated,is terminated only if so stated in the lessee's last will and testament,terminates on the death of lessor or lessee,terminates on the date specified in the lease agreement,c,"The estate at will, also called a tenancy at will, has no definite expiration date and hence no ""renewal"" cycle. The landlord and tenant agree that the tenancy will have no specified termination date, provided rent is paid on time and other lease conditions are met. For example, a son leases a house to his father and mother ""forever,"" or until they want to move. The estate at will is terminated by proper notice, or by the death of either party"
"If a tenant occupies a leased property without the consent of the landlord after a lease expires, the type of estate that results is called ",an estate at sufferance,a holdover estate,an adverse leasehold,a hostile leasehold,a,"In an estate at sufferance, a tenant occupies the premises without consent of the landlord or other legal agreement with the landlord. Usually such an estate involves a tenant who fails to vacate at the expiration of the lease, continuing occupancy without any right to do so"
An interest in real estate is best defined as ownership of,the full bundle of rights to real property,an estate,one or more of the bundle of rights to real property,the right to possession and use of real property,c,"An interest in real estate is ownership of any combination of the bundle of sticks, including the rights to possess, use, transfer, encumber and exclude"
Encumbrances and police powers are,interests that do not include possession,limited forms of an estate,unrelated to interests,types of public interests,a,An encumbrance enables a non-owning party to restrict the owner's bundle of rights. Government entities also have nonpossessory interests in real estate which act to control land use for the public good within the entity's jurisdiction. The prime example of public interest is police power
What distinguishes a freehold estate from a leasehold estate?,A freehold includes the right to dispose or use,A leasehold endures only for a specific period of time,A freehold cannot be defeasible,A leasehold is subject to government restrictions,b,"Freehold estates are ownership estates, and their duration cannot be determined. A leasehold endures only for a specific period of time"
The highest form of ownership interest one can acquire in real estate is the,dower and curtesy,conventional life estate,defeasible fee simple estate,absolute fee simple estate,d,"The fee simple freehold estate is the highest form of ownership interest one can acquire in real estate. It includes the complete bundle of rights, and the tenancy is unlimited, with certain exceptions. The fee simple absolute estate is a perpetual estate that is not conditioned by stipulated or restricted uses"
The distinguishing feature of a defeasible fee simple estate is that,it can be passed on to heirs,it has no restrictions on use,the estate may revert to a grantor or heirs if the prescribed use changes,it is of unlimited duration,c,"The defeasible fee estate is perpetual, provided the usage conforms to stated conditions. Essential characteristics are: the property must be used for a certain purpose or under certain conditions; and, if the use changes or if prohibited conditions are present, the estate reverts to the previous grantor of the estate"
"Upon the death of the owner, a life estate passes to",the original owner or other named person,the owner's heirs,the state,the owner's spouse,a,"Upon the death of the owner or other named individual, the estate passes to the original owner or another named party"
How is a conventional life estate created?,It happens automatically when title transfers unless a fee simple is specifically claimed,A fee simple owner grants the life estate to a life tenant,It is created by judicial action,It is created by a statutory period of adverse possession,b,"A conventional life estate is created by grant from a fee simple property owner to the grantee, the life tenant"
What distinguishes a pur autre vie life estate from an ordinary life estate?,The pur autre vie estate endures only for the lifetime of the grantor,The pur autre vie estate endures only for the lifetime of the grantee,The pur autre vie estate endures only for the lifetime of a person other than the grantee,The pur autre vie estate cannot revert to the grantor,c,"A pur autre vie life estate endures over the lifetime of a third person, after which the property passes from the tenant holder to the original grantor (reversion) or a third party (remainderman)"
Which of the following life estates is created by someone other than the owner?,Conventional life estate,Ordinary life estate,Legal life estate,Community property life estate,c,A legal life estate is created by state law as opposed to being created by a property owner's agreement
Which of the following is true of a homestead?,A homestead interest cannot be conveyed by one spouse,A homestead interest cannot be passed to the children of the head of household,A homestead interest is a form of conventional life estate,A homestead is a primary or secondary residence occupied by a family,a,A homestead is one's principal residence. Homestead laws protect family members against losing their homes to general creditors attempting to collect on debts. Homestead laws generally provide that: the homestead interest cannot be conveyed by one spouse; both spouses must sign the deed conveying homestead property
Dower refers to,joint tenancy of husband and wife,a wife's life estate interest in her husband's property,a wife's homestead interest,a child's life estate interest in his or her parents' homestead,b,"Dower refers to a wife's life estate interest in the husband's property. When the husband dies, the wife can make a claim to portions of the decedent's property. Curtesy is the identical right enjoyed by the husband in a deceased wife's property. Property acquired under dower laws is owned by the surviving spouse for the duration of his or her lifetime"
Which of the following is an illustration of the legal concept of elective share?,A surviving spouse places a lien on a debtor's property,A widow who was excluded from a will makes a claim to a portion of the couple's principal residence,A spouse who loses her home because of her husband's gambling debt sues in court for exemption from the debt,A widower whose spouse died without a will sues to change the provisions of the will,b,Elective share is a state-level statute enabling a surviving spouse to make a minimum claim to the deceased spouse's real and personal property in place of the provisions for such property in the decedent's will
"A one-year lease on a house has expired, but the tenant continues sending monthly rent checks to the owner, and the owner accepts them. What kind of leasehold estate exists?",Estate for years,Estate from period to period,Estate at will,Estate at sufferance,b,"In an estate from period-to-period, also called a periodic tenancy, the tenancy period automatically renews for an indefinite period of time, subject to timely payment of rent. At the end of a tenancy period, if the landlord accepts another regular payment of rent, the leasehold is considered to be renewed for another period"
"If a lien covers all properties of the debtor in that county where it is recorded, it is known as:",Specific lien,Judgment lien,Lis pendens,General lien,D,"General Liens applies to and burdens all of the owner's real property, but only in the county of recording. [Examples include tax liens or liens resulting from a court judgment.]. Therefore a judgment lien is not the answer because it is one of many other types of general liens."
"Generally, construction onto the property of another, like a wall fence, building, etc. is known as what?",Encroachment,Easement appurtenant,Estoppel,Situs,A,"When you think of the word encroachment you think of somebody stepping over a line from their side on to yours. An encroachment is the physical intrusion of a structure or improvement on the land of another. Examples can also include a fence or driveway over the property line. Remember your property line extends upwards to the sky therefore a tree hanging over on to your property is encroachment as well. An encroachment can be found by a survey. It is a form of trespass, therefore when an encroachment occurs you may be able to sue your neighbor for trespassing."
Which of the following would be considered real property?,Diamonds which have been mined,Trade fixtures,Bearing wall,A cell phone,C,"Real property is that category of property that is immovable by law. Examples include load bearing walls, stock in a mutual water company, and minerals."
Personal property can be:,"turned into real property, alienated, and/or hypothecated.",alienated.,hypothecated.,turned into real property.,A,Personal property are items that are generally moveable and do not go with the real estate. Personal property can be turned into real property (such as in a fixture) it can be alienated (you can get rid of it) and it can be hypothecated (pledged as collateral to secure a loan).
Which of the following would likely be defined as a fixture?,Area rugs in a home,A built-in stove in a mobile home,Crops after harvest,Something incorporated into the land,D,"Fixtures are objects attached to real property or incorporated into the land which are now considered real property. To determine whether or not an item of Personal Property has become a Fixture, use the Maria test: Method, Adaptability, Relationship, Intention, Agreement. The size, cost and time of attachment are NOT factors. Mobile homes are generally not considered real property because they're not attached to the land, so a stove in a mobile home is not usually a fixture."
Which of the following would be most likely found in a business office?,None of the other options are correct,An easement,A fixture,A trade fixture,D,"Trade Fixtures are items that are attached to the property, but they are not considered real property because they are in a business office. They can leave with the person as they do not stay with the property. Trade fixtures are not appurtenant to the land because they are personal property. Always keep in mind to choose the best answer."
"Zena granted the property to Ungrilda, but because she knew that Ungrilda had a drinking problem she told her that there was a condition. The condition was that the property would be forfeited if alcohol is sold on the premise. Ungrilda would have which of the following estates?",Fee Simple Defeasible,Estate in Sufferance,Fee simple Absolute,Life Estate,A,"A Fee Simple Defeasible puts conditions on the use of a property. For example, an owner could lose title if the condition that no alcohol is sold on the property is violated."
"The holder of a life estate, based on her own life, may do all of the following, except:",borrow against the property.,sell the property.,devise the property.,lease the property.,C,"A Life Estate is a type of Freehold Estate which has a duration measured by the length of someone's life, after which the estate passes to a reversionary or remainder interest-holder. A life estate measured by the holder's life cannot be devised, but it can be borrowed against, leased or sold (though the purchaser will lose any rights when the life-estate holder dies and the property passes to the reversionary or remainder interest-holder)."
"Placing two or more contiguous units under common ownership, for the purpose of increasing the value per unit, is known as:",plottage.,disassemblage.,severalty ownership.,terminus ownership.,A,Plottage is the common ownership of two or more units or lots next to each other which makes the value of the new combined property greater than the values of each individual lot added together. Assemblage is the process by which plottage occurs.
"A situation in which the tenant's lease has expired, the tenant is no longer paying rent and is living on the property without permission is known as:",estate from period to period.,estate at will.,estate at sufferance.,an estate for years.,C,"In an estate at sufferance, the tenancy is by a lessee who lawfully occupies the landlord's property, but then continues to occupy the property improperly after his rights have expired and without permission of the landlord. Think of it this way: The landlord and the estate are SUFFERING because rent is not being paid. The other types of estates mentioned here are actual lease agreements, but this is a situation of one party being unwilling to abide by the terms of any agreements previously reached."
The right-of-way to access telephone lines is a common example of:,an easement in gross.,an easement appurtenant.,a non-revocable license.,a legally valid encroachment.,A,"An easement in gross grants a company or individual limited rights to access another's property for a specific purpose. In this case installing, maintaining and repairing telephone lines."
Title held by a husband and wife may include all of the following forms of ownership EXCEPT:,joint tenancy,tenancy by the entireties,tenancy in common,severalty,D,"Severalty means sole ownership and, other than forming a corporation, spouses can only hold property in common through some form of joint ownership."
Mary owns one parcel of land and is trying to show that exceptional circumstances exist that justify using the land in a way that is prohibited by current zoning laws. Her intended use would not be detrimental to the public. She would probably petition the planning commission for a:,Redevelopment permit,Variance,Building permit,Rezoning agreement,B,A petition for variance is a method by which a landowner can try to show that unique circumstances exist and that his land should be allowed an exception to present zoning laws. Variance is done lot by lot.
The difference between a judgment lien and a mechanic's lien is:,mechanic's liens are created by statute.,mechanic's liens may take priority earlier than the date they are recorded.,judgment liens are involuntary liens.,judgment liens are not enforceable until recorded.,B,"Mechanic's liens take priority as of the first day of construction, and may even take priority earlier than their date of recording."
"Unless otherwise specified, the rights to minerals which lie beneath the surface of land:",Cannot be conveyed apart from the real estate surrounding the minerals.,Are kept by the original grantor;,Are automatically transferred with the sale of the real property;,Cannot be leased;,C,"Appurtenances are said to ""Run with the Land"" and they require no separate conveyance. Appurtenances include Easements, Stock in a Mutual Water Company, Covenants, and Minerals. They are considered real property."
Real estate brokers can have difficulty with personal property because ownership rights and identification are often difficult to determine. This is because personal property can:,"be alienated, hypothecated and can become real property.",be alienated only.,become real property only.,be hypothecated only.,A,"Personal Property, also known as ""chattel"", is a category of property that is generally movable and can be hypothecated (pledged as collateral), alienated (transfer of ownership) and become real property (as a fixture)."
"""Of indefinite duration"" is a characteristic which is particularly descriptive of an:",Estate less-than-freehold.,Estate for years.,Estate of inheritance.,Estate from period-to-period.,C,"Fee Simple Estate: Also referred to as an ""Estate of Inheritance"", a Fee Simple Estate is one type of Freehold Estate, and as such, is indefinite in duration. A Fee Simple Estate can also be sold or inherited, and is not free of Encumbrances. A Fee Simple Absolute is the most interest that one can hold in land."
A freehold estate consists of:,A fee estate;,A leasehold estate.,An estate from period to period;,An estate at will;,A,"Freehold estate is an estate in which ownership is for an indeterminate length of time, that would be ""fee estate""; the other options are all examples of less than freehold estates."
"The deed restrictions on a subdivision said that the lots must contain a minimum of 15,000 square feet structure. The zoning restrictions said that the lots must contain a minimum of 10,000 square feet structure. Which would prevail in this situation?",Zoning restrictions,The one recorded last,Deed restrictions,The one recorded first,C,"The higher standard of restrictions will usually prevail. For example, if deed restrictions in a subdivision required that each lot contain a minimum 15,000 square feet structure, and the applicable zoning laws required that each lot contain a minimum 10,000 square foot structure, the deed restrictions would prevail. With things like this, you usually go with the option that is more restrictive. NOTE - This question asks about the MINIMUM square footage of a structure, so the more restrictive number is 15,000 sq. ft. If the question asked about the MAXIMUM square footage of a structure, the more restrictive number would be 10,000 sq. ft."
"When the rent charged is based on the gross sales of a business, the lease is correctly termed:",A percentage lease;,A voidable lease;,A net lease;,A gross lease;,A,"Percentage Leases: In this type of lease, the amount of rent paid by the lessee is determined by calculating a percentage based on the gross receipts of the lessee's business (i.e., a commercial parking lot)."
Which of the following is not a characteristic of a fee simple absolute title?,It is transferable with or without consideration,It is of indefinite duration,It is always free of encumbrances,It is transferable by will or intestate,C,"Be careful of words like ""always"" on your exam. There is usually an exception to just about every rule. Also referred to as an ""Estate of Inheritance"", a Fee Simple Estate is one type of freehold estate and is indefinite in duration. A fee simple estate can also be sold or inherited, and is not free of encumbrances  remember that there are always taxes, and taxes are an encumbrance. A fee simple absolute is the most interest that one can hold in land."
"A family rents a vacation home from July 5, 2020 to January 31, 2021. Their tenancy would properly be classified as:",month-to-month,a fee simple estate,a periodic tenancy,an estate for years,D,"An estate for years is a lease for any fixed period of time, for example a lease that commences on July 5th, 2020 and terminates on January 31, 2021. An estate for years already has a fixed end date when the lease begins  this separates it from a periodic tenancy, in which the lease automatically renews at the end of each agreed-upon period (usually from 1 week to 1 year) until either the tenant or landlord gives notice of termination."
"As used in real property law, ""tenancy"" most nearly means:",The mode or method of holding title to real property by an owner.,A tenant who has acted in excess of their rights.,The obstinancy of a holdover tenant.,The landlord-tenant relationship.,A,"Title vesting, also referred to as ""Tenancy"", simply refers to the method or mode of holding title to real property."
Mr. Smith owns real property in severalty. This term is used to legally describe ownership by:,Remainder,Co-tenants,An individual,Several tenants in common,C,"Ownership in severalty is a type of ownership, also known as separate ownership by one individual (or one corporation)."
"If five people own property as joint tenants, which of the following is true?",Each co-owner has a separate legal title to his undivided interest,They do not need to own equal interest in the property,"If one of the owner dies, his heirs become tenants in common with the surviving co-owners",There is still only one title to the whole property,D,"Joint Tenancy can be summarized with the word unity: unity of Time, Title, Interest and Possession. The unity of Title means that no matter how many joint tenants there are, there is still only one title to the entire property. The unity of Time means that all co-owners must have received their interest in the property at the same time, the unity of Interest means that all co-owners must have an equal interest (5 owners would mean each owner has 20% interest) and the unity of Possession means that each owner has an equal right to possess the property as the other owners."
"When the preliminary title report reveals the existence of an easement on the property, it indicates that the easement is a(n):",tenement.,encroachment.,encumbrance.,lien.,C,"Anything that limits a person's use of a property is an encumbrance. Easements limit use in that they generally prohibit any kind of permanent structure on the area in question. For example, if a homeowner wanted to build a swimming pool in an area of his back yard and the local sewer company had an easement for pipes running under that area, he would have to find another location for his pool, even if it was not as desirable."
All of the following are examples of police power EXCEPT:,building codes.,restrictive covenants.,city planning requirements.,zoning ordinances.,B,"Restrictive covenants are private matters established and enforced by residents on a voluntary basis. Police powers, on the other hand, are imposed by governments and impact all affected persons."
"In determining whether an item is a fixture, which of the following would not be considered?",method of attachment,intention of the parties when the fixture was installed,value of the item,adaptation to the real estate,C,"Please be aware of words like ""not"" or ""except"" in the question. Fixtures are objects that are attached to real property or incorporated into the land which are now considered real property; in determining whether or not an item of Personal Property has become a Fixture. Use the Maria test (Method Adaptability Relationship Intention Agreement)  the size, cost and time of attachment are NOT factors."
An item which was personal property but has been attached to and become part of the real property is known as:,a trade fixture.,an appurtenance.,a fixture.,an emblement.,C,"A fixture is personal property that is now considered real property. For example, a new cooktop is personal property until it is installed, at which point it becomes a fixture. The way to test if something is a fixture is to use the acronym MARIA. MARIA stands for Method, Adaptability, Relationship, Intention and Agreement."
Which of the following is not required for obtaining an easement by prescription?,A hostile use which is adverse to the true owner,Open notorious use which is continuous,Having some claim of right,A confrontation with the owner,D,"Easement by Prescription obtained by open, notorious, hostile, and continuous use. Confrontation with the owner is not a factor. Easement by prescription can be terminated for non-use."
Any claim or liability attached to a property is called:,An encumbrance,A lien,A buyer's claim,An easement,A,"Remember that an encumbrance is any claim against a property. Restrictions, liens, and buyer's claims (also known as a vendee's lien) are all FORMS of encumbrances."
"In an appurtenant easement, the party that benefits is known as the:",servient tenement,leaser,lessee,dominant tenement,D,"The person whose land is benefited by the easement, and is the DOMINATING PARTY, is considered the dominant tenement. The servient tenement is the opposite of this. Leaser and lessee involve lease agreements, and have nothing to do with easements."
The rights of a landowner to use waters of an adjacent stream or river are known as:,riparian rights.,zoning rights.,livery of seisin.,littoral rights.,A,"While both riparian and littoral rights have to do with water, remember that riparian rights have to do with FLOWING bodies of water, such as rivers. (River and Riparian both start with 'r'.) Zoning and seisin deal with land control."
Which of the following methods of creating an easement would result in an easement which could most easily be terminated for non-use?,Express reservation in a deed,A valid quitclaim deed from the current owner,Prescriptive use,Implication of law,C,"Easement by Prescription (requires open, notorious, hostile, and continuous use). Confrontation with the owner is not a factor. Easement by prescription can be terminated for non-use."
"Dan sold his land which had an easement appurtenant for a road. The deed which the buyer received contained an adequate description of the land, but made no reference to the easement. The buyer:",Loses the easement to the servient tenement,Has the same right to the easement as the seller did,Has a clouded title,Takes title to property which is landlocked,B,An appurtenant easement is an easement that is annexed to the ownership of one parcel and allows the owner the use of the neighbor's land. The buyer has the same rights as the seller.
Private restrictions on real property can be written either as a condition or a covenant. Which of the following is most correct concerning such restrictions?,Violation of covenants can result in penalties which are more severe and can result in loss of money only.,Violation of a condition can result in penalties which are more severe and can result in loss of title.,They become public restrictions upon recording.,Violations of such penalties are a criminal offense.,B,"When private restrictions take the form of conditions in written agreements, any breach of such conditions can result in more severe penalties than if they were in the form of a covenant. Often violations result in a loss of title, such as with a fee simple defeasible estate."
"Following proper action by the authorities, the zoning on a vacant lot was changed from ""commercial"" to ""residential."" Such an action is called:",Retroactive zoning,Spot zoning,Blended zoning,Down zoning,D,Down zoning refers to zoning changes that convert commercially zoned properties into ones zoned for residential use.
Which of the following would be defined as a fixture in the law?,A countertop microwave,Crops after harvest,Something incorporated into the land,Area rugs in a home,C,"Fixtures are objects attached to real property or incorporated into the land which are now considered real property. Use MARIA: Method, Adaptability, Relationship, Intention, Agreement."
Re-zoning a section of town and changing its lawful use for new development from commercial to residential use is known as:,down zoning,a variance,a referendum,redevelopment planning,A,Down zoning usually reduces the economic value of the property involved.
An estate in real property:,Will always run on into perpetuity.,Must only carry the right to immediate possession.,May exist along with other estates in the same property.,Can come into being only through a grant.,C,An estate in real property may exist along with other estates in the same property.
"A tenant rented an apartment, signing a 15-month lease. After the lease expired, the tenant stayed in the apartment without the landlord's permission. What kind of leasehold does the tenant have?",Periodic tenancy,Tenancy in Common,Holdover tenancy,Joint Tenancy,C,Holdover tenancy is a tenancy whereby a lessee retains possession of leased property after the lease has expired without the landlord's permission.
"Which of the following terms BEST describes personal property that, by its attachment to real property, is regarded as real estate?",Appliances,Fixtures,Personality,Novation,B,Fixtures are objects attached to real property or incorporated into the land and which are now considered real property. Use MARIA.
"Keith and Ralph bought a house as tenants in common. If Keith dies, which of the following statements about ownership of the house is CORRECT?",Ralph holds life estate ownership in Keith's share of the property.,Ralph holds fee simple ownership in Keith's share of the property.,Ralph retains his interest in the property and Keith's share goes to his heirs.,It automatically becomes tenancy in severalty.,C,There is no right of survivorship when property is owned as tenants in common. Keith's share passes to his heirs.
"When a husband and wife take title to a property as tenants in common, they have elected a form of ownership that allows for:",the option of unequal shares of ownership,title in severalty,everything to be equal as per ownership of the property,the right of survivorship,A,Tenancy in common allows unequal shares. Unity of Possession is required; no automatic right of survivorship.
"In a condominium apartment project, the BEST term to describe swimming pools and laundry rooms for the use of unit owners is:",leasehold elements,limited common elements,common elements,fee simple elements,C,Common elements are portions of a condominium development owned in common by unit owners.
Nelson owned two acres of land. He sold one acre to Andy and reserved for himself an appurtenant easement over Andy's land for ingress and egress. Andy's land:,can be cleared of the easement when Nelson sells the withheld acre to a third party.,is subject to an easement in gross.,is the dominant tenement.,is the servient tenement.,D,"Andy's land interest is the one burdened by the easement, making it the servient property."
"Ginny owns 50 acres of land with 500 feet of frontage on a desirable recreational lake. She wishes to subdivide the parcel into sellable lots, but she wants to retain control over the lake frontage while allowing lot owners to have access to the lake. Which of the following types of access rights would provide the greatest protection for a prospective purchaser?",an appurtenant easement,an easement in gross,a license,an easement by necessity,A,Appurtenant easements afford the most protection since they pass with the property.
Many states determine the order of water rights according to which users of the water hold a recorded beneficial use permit. This allocation of water rights is determined by:,littoral theory.,riparian theory.,the doctrine of prior appropriation.,accretion.,C,"In water-scarce states, the doctrine of prior appropriation applies: first in time, first in right."
The type of lease that is for an indefinite amount of time and may be cancelled by the landlord or tenant at any time is known as:,an estate at will.,a life estate.,a fee simple estate.,an estate from period to period.,A,An estate at will continues indefinitely and may be terminated by either party.
The local utility company dug up Bob's garden to install a natural gas line. The company claimed it had a valid easement and proved it through the county records. Bob claimed the easement was not valid because he did not know about it. The easement:,Was an appurtenant easement owned by the utility company.,Was not valid because Bob was not informed of its existence when he purchased the property.,Was valid even though the owner did not know about it.,Was not valid because it had not been used during the entire time that Bob owned the property.,C,Easements grant access and attach to the property even if the owner is unaware.
Peter owned two acres of land. He sold one acre to Chaim and reserved for himself an appurtenant easement over Chaim's land for ingress and egress. Chaim's land:,Can be cleared of the easement when Peter sells the withheld acre to a third party.,Is subject to an easement in gross.,Is the servient tenement.,Is the dominant tenement.,C,Chaim's land interest is burdened by the easement; it is the servient property.
Leslie and Vivian bought a store building and took title as joint tenants. Vivian died testate. Leslie now owns the store:,in trust.,as a joint tenant with rights of survivorship.,in severalty.,as a tenant in common with Vivian's heirs.,C,"Joint tenancy means that upon death, the surviving tenant owns the property in severalty (sole ownership)."
"Andrew lives in an apartment building. The land and structures are owned by a corporation, with one mortgage loan covering the entire property. Like the other residents, Andrew owns stock in the corporation and has a lease on his apartment. This type of ownership is called a(n):",condominium.,planned unit development.,time-share.,cooperative.,D,Cooperative ownership involves stock in a corporation that entitles the holder to lease a unit.
"In a gift of a parcel of real estate, one of the two owners was given an undivided 60 percent interest and the other received an undivided 40 percent interest. The two owners hold their interests as what?",cooperative owners,joint tenants,tenants in common,community property owners,C,"Because the interests were acquired as a gift and not simultaneously with survivorship intent, they are tenants in common."
Which of the following liens does not need to be recorded to be valid?,mechanic's lien,judgment lien,materialman's lien,real estate tax lien,D,Liens by taxing authorities do not need to be recorded.
