Question,A,B,C,D,Correct Answer,Feedback / Explanation
In which of the following markets may a lender sell a loan that a mortgage banker has previously originated?,Mortgage market,Primary market,Consumer market,Secondary market,D,The secondary market is where lenders buy and sell existing mortgages.
Mortgage bankers typically:,Originate and sell loans to investors,Are ultimate lenders,Act without principals’ consent,Do not finance construction loans,A,Mortgage bankers originate many loans and sell them at a discount to investors in the secondary market.
A mortgage broker:,Is a lender,Buys mortgages in secondary market,Buys/resells mortgages for profit,Arranges loans for borrowers,D,Mortgage brokers arrange loans and match borrowers with lenders without funding the loan themselves.
Which statement is not correct regarding mortgage fraud?,Mortgage fraud is punishable by up to 40 years in federal prison.,Mortgage fraud is investigated by the FBI.,The use of inflated appraisal in collusion with a lender.,Mortgage fraud can be created through the use of false identity on loan applications without the true person’s knowledge.,A,"Mortgage fraud is a federal crime, but penalties are generally handled at the state level and are less severe than 40 years in federal prison."
"If a borrower must pay $6,000 for points on a $150,000 loan, how many points is the lender charging?",4,5,3,6,A,"One point = 1% of the loan amount. $150,000 × 1% = $1,500; $6,000 ÷ $1,500 = 4 points."
Which of the following is considered a conventional loan?,ARM loan from a commercial bank,Contract for deed,FHA insured,VA guaranteed,A,"Conventional loans are funded by private lenders; ARMs from commercial banks are conventional, unlike FHA/VA loans."
Processing a loan includes analysis of which selection?,The buyer’s credit,The seller’s credit,Sales price of neighboring properties,Legal description of the property,A,Loan processing involves analyzing the buyer’s credit to assess repayment ability.
RESPA prohibits which of the following acts?,Redlining,Blockbusting,Paying of kickbacks,Steering,C,RESPA prohibits referral fees or kickbacks in real estate transactions to protect consumers.
Statement signed by the mortgagee acknowledging loan paid in full is called:,Release of lien,Estoppel certificate,Satisfaction of mortgage,Assertion of derangement,C,A satisfaction of mortgage clears the lien and releases the property title.
Term mortgage loan means:,Length limited by state law,Entire principal due at end,Debt partially amortized over life,All interest paid at end,B,A term mortgage requires full principal payment at the end of the term (balloon payment).
Type of interest usually charged when financing a house:,Compound interest,Straight interest,Add on interest,Simple interest,D,"Mortgages typically use simple interest, calculated on principal over time."
Subordination clause in a mortgage or trust deed:,Permits early payoff,Allows readjustment of terms,Establishes debt ranking priority,Prohibits new loans before original paid,C,Subordination sets priority among multiple liens in case of default or foreclosure.
FNMA was created under Title-II primarily for:,Advancing funds to mass builders,Buying Title-II loans to keep market liquid,Supervising lending agencies,Lending where banks won’t,B,"FNMA buys Title-II loans to provide liquidity, not directly lend funds."
Who enforces the Truth-in-Lending Act?,Federal Trade Commission,RESPA,Real Estate Commissioner,Secretary of State,A,FTC enforces TILA to protect consumers from misleading credit practices.
Who is NOT an originator of primary loans?,Credit unions,Commercial banks,Savings and loans,FHA,D,FHA insures loans but does not originate them.
Loan-to-value ratio is determined by:,Monthly payments ÷ remaining balance,"Loan ÷ sales price or appraised value, highest","Loan ÷ sales price or appraised value, lowest",Mortgage amount ÷ insured value,C,LTV = loan ÷ lesser of sales price or appraised value.
Requirement of a "tax-free exchange":,Residential,Like kind,Equal value,Equal equities,B,IRC §1031 allows tax deferral if properties exchanged are of like kind.
Who usually pays loan origination fee on FHA loan?,Seller,Lending institution,Broker,Borrower,D,Borrower pays the origination fee along with mortgage insurance.
Purpose of Truth-in-Lending (Regulation Z):,Establish uniform rates,Disclose cost of credit,Set approval standards,Protect lender,B,Regulation Z ensures consumers are informed of credit terms and costs.
RESPA applies to which activity?,Brokers selling commercial property,S&L lending for first-time buyers,Broker selling 10-unit apartment,Investor buying shopping center,B,"RESPA governs federally related home loans, disclosures, and prohibiting kickbacks."
Owner’s right to reclaim mortgaged property after sheriff sale:,Repossession,Right of redemption,Reversionary,Reconveyance,B,Redemption allows defaulted owners to reclaim property by paying owed amounts.
Loan type that reduces principal fastest:,11% over 20 years,10% over 30 years,13% over 15 years,14% over 20 years,C,"Shorter-term, higher-rate loans pay principal faster."
Trustee in a trust deed is responsible for:,Being borrower,Reinstating borrower after sale,Starting foreclosure & selling property,Negotiating interest rate,C,Trustee initiates foreclosure and sells property if borrower defaults.
Prohibited down payment advertisement under Regulation Z:,"""Homes $1,000 down if qualify 30-year loan""","""$1,000 down, good credit report""","""$1,000 down, contact Bill Jones""","""Buy a new home for only $1,000""",D,"Misleading ads implying any buyer can purchase with $1,000 down are prohibited."
TRID allowed to be examined pre-closing to:,Verify title insurance,Check cheaper loans,Provide special fees info,Check math & ask lender questions,D,Closing Disclosure given 3 days prior so buyer can verify figures and ask questions.
Fed action that relieves tight money market:,New bank regulations,Lower reserve requirement,Raise discount rate,Sell US securities,B,"Lowering reserve requirements increases bank lending, easing tight money."
"3 days before closing, CD must be provided under:",ECOA,Fair Housing Act,TRID,TILA,C,TILA/RESPA Integrated Disclosure (TRID) rule requires Closing Disclosure 3 days before closing.
Truth-in-Lending laws apply to:,Land contracts,Residential mortgages,All personal property,Commercial property,B,"TILA governs consumer residential mortgage transactions, not commercial deals."
Constant amortized payment leaving balance at end is:,Acceleration,Escalation,Balloon payment,Satisfaction,C,Balloon payment: fixed periodic payments with full principal due at loan end.
Mortgage company assembling loans to sell is called:,Warehousing,Blanket financing,Discounting,Package financing,A,Warehousing: holding loans temporarily before selling in secondary market.
"Compared with 30-year loan, a 20-year loan results in:",Greater impound,Lower monthly payments,Higher monthly payments,Lower equity buildup,C,Shorter term = higher monthly payments but faster principal reduction.
Mortgage interest deduction allowed on:,"Primary, second, commercial rental","Primary, second, industrial rental","Primary, second, residential rental","Primary, second, any rental",C,"Deduction allowed for primary, second, and residential rental properties."
False statement about federal-supported housing loans:,FHA insures multi/single-family,Federal supplies funds to lending agency,Federal insures lending agency,VA guarantees may cover condos,B,Federal government does not supply funds; it insures/guarantees loans.
Easements and encroachments are types of,lien,deed restriction,encumbrance,appurtenance,c,"General types of encumbrance include easements, encroachments, licenses, and deed restrictions"
An affirmative easement gives the benefited party,the right to possess a defined portion of another's real property,the right to prevent the owner of a real property from using it in a defined way,the right to a defined use of a portion of another's real property,the right to receive a portion of any income generated by another's real property,c,"An easement may be affirmative, allowing a use, such as a right-of-way"
"There are two adjoining properties. An easement allows property A to use the access road that belongs to property B. In this situation, property A is said to be which of the following in relation to property B?",Subservient estate,Servient estate,Senior tenant,Dominant tenement,d,"An easement appurtenant gives a property owner a right of usage to portions of an adjoining property owned by another party. The property enjoying the usage right is called the dominant tenement, or dominant estate"
Which of the following describes a situation in which an easement might be created against the wishes of the property owner?,The property has been continuously used as an easement with the knowledge but without the permission of the owner for a period of time,"The owner of an adjoining property asks the property owner for an easement, is refused, and then uses the property anyway without the knowledge of the owner",The owner of an adjoining property decides he needs to widen his driveway by sharing his neighbor's driveway and sues in court to create an easement by necessity,The owner of an adjoining property grants an easement to a third party that includes an easement on the first property,a,"Easement by prescription. If someone uses another's property as an easement without permission for a statutory period of time and under certain conditions, a court order may give the user the easement right by prescription, regardless of the owner's desires"
What is the primary danger of allowing an encroachment?,An encroachment automatically grants the benefiting party an easement,The encroached party may be liable for additional real estate taxes to cover the area being encroached upon by the neighboring property,"Over time, the encroachment may become an easement by prescription that damages the property's market value",An encroachment creates a lien,c,"Encroachments cause infringements on the rights of the trespassed owner, and may diminish the property's value over time, particularly when the property is to be sold"
A property owner who is selling her land wants to control how it is used in the future. She might accomplish her aim by means of,an injunction,a deed restriction,an easement,a land trust,b,A private party who wants to control the quality and standards of a property can establish a deed restriction. Deed restrictions take precedence over zoning ordinances if they are more restrictive
What distinguishes a lien from other types of encumbrance?,It involves a monetary claim against the value of a property,It lowers the value of a property,It is created voluntarily by the property owner,It attaches to the property rather than to the owner of the property,a,"A lien is a creditor's claim against personal or real property as security for a debt of the property owner. If the owner defaults, the lien gives the creditor the right to force the sale of the property to satisfy the debt. Liens do not necessarily alter the property value. Liens can be involuntary as well as voluntary. Finally, liens attach to the property, but so do other encumbrances"
"A certain property has the following liens recorded against it: a mortgage lien dating from three years ago; a mechanic's lien dating from two years ago; a real estate tax lien for the current year; and a second mortgage lien dating from the current year. In case of a foreclosure, which of these liens will be paid first?",First mortgage lien,Mechanic's lien,Real estate tax lien,Second mortgage lien,c,"Superior and inferior lien. The category of superior, or senior, liens ranks above the category of inferior, or junior, liens, meaning that superior liens receive first payment from the proceeds of a foreclosure. The superior category includes liens for real estate tax, special assessments, and inheritance tax. Other liens, including income tax liens, are inferior"
The lien priority of junior liens can be changed by a lienor's agreement to,forgive portions of the debt,assign the note,foreclose on the note,subordinate,d,"A lienor can change the priority of a junior lien by voluntarily agreeing to subordinate, or lower, the lien's position in the hierarchy"
"Among junior liens, the order of priority is generally established according to",the date of recordation,the amount,the order of disbursement,special agreement among lienees,a,"Among junior liens, date of recording determines priority. The rule is: the earlier the recording date of the lien, the higher its priority"
What is meant by a "lien-theory" state?,A state in which liens are given priority over other encumbrances,A state in which a mortgagor retains title to the property when a mortgage lien is created,A state in which the holder of a mortgage lien receives title to the mortgaged property until the debt is satisfied,A state in which liens exist in theory but not in practice,b,"In lien-theory states, mortgages and trust deeds secure loans made on real property. In these states, the lender records a lien as soon as possible after disbursing the funds in order to establish lien priority"
A homeowner has hired a contractor to build a room addition. The work has been completed and the contractor has been paid for all work and materials but fails to pay the lumber yard for a load of lumber. What potential problem may the home owner experience?,The contractor may place a mechanic's lien for the amount of the lumber against the homeowner's real property,The lumber yard may place a vendor's lien against the contractor and the homeowner for the amount of the lumber,The lumber yard may place a mechanic's lien for the amount of the lumber against the homeowner's real property,The homeowner has no liability because the contractor was paid for the lumber,c,Any individual who performs approved work may place a mechanic's lien on the property to the extent of the direct costs incurred. Note that unpaid subcontractors may record mechanic's liens whether the general contractor has been paid or not. Thus it is possible for an owner to have to double-pay a bill in order to eliminate the mechanic's lien if the general contractor neglects to pay the subcontractors
The process of enforcing a lien by forcing sale of the lienee's property is called,execution,attachment,foreclosure,subordination,c,"All liens can be enforced by the sale or other transfer of title of the secured property, whether by court action, operation of law, or through powers granted in the original loan agreement. The enforcement proceedings are referred to as foreclosure"
An important difference between a judicial foreclosure and a non-judicial foreclosure is,there is no right to redeem the property in a non-judicial foreclosure,a judicial foreclosure forces a sale of the property,a non-judicial foreclosure ensures that all liens are paid in order of priority,the lienor receives title directly in a non-judicial foreclosure,a,There is no redemption right in non-judicial foreclosure
A defaulting borrower may avoid foreclosure by giving the mortgagee,a promissory note,a deed in lieu of foreclosure,a redemption notice,a lis pendens,b,"A defaulting borrower who faces foreclosure may avoid court actions and costs by voluntarily deeding the property to the mortgagee. This is accomplished with a deed in lieu of foreclosure, which transfers legal title to the lienholder"
A property survey reveals that a new driveway extends one foot onto a neighbor's property. This is an example of,a easement appurtenant,an encroachment,an easement by prescription,a party wall easement,b,"An encroachment is the unauthorized, physical intrusion of one owner's real property into that of another"
"A property owner has an easement appurtenant on her property. When the property is sold to another party, the easement",terminates,transfers with the property,transfers with the owner to a new property,becomes a lien on the property,b,The term appurtenant means "attaching to." An easement appurtenant attaches to the estate and transfers with it unless specifically stated otherwise in the transaction documents
A brick fence straddles the property line of two neighbors. The neighbors agree not to damage it in any way. This is an example of,a party wall,an encroachment,a trade fixture,a deed restriction,a,"A party wall is a common wall shared by two separate structures along a property boundary. Party wall agreements generally provide for severalty ownership of half of the wall by each owner, or at least some fraction of the width of the wall. In addition, the agreement grants a negative easement appurtenant to each owner in the other's wall. This is to prevent unlimited use of the wall, in particular a destructive use that would jeopardize the adjacent property owner's building. The agreement also establishes responsibilities and obligations for maintenance and repair of the wall"
"A property owner allows Betty Luanne to cross his property as a shortcut to her kindergarten school bus. One day the property owner dies. What right was Betty given, and what happens to it in the future?","A personal easement in gross, which continues after the owner's death","An easement by prescription, which continues after the owner's death","A license, which continues after the owner's death","A license, which terminates at the owner's death",d,"A license, much like a personal easement in gross, is a personal right that a property owner grants to another to use the property for a specific purpose. Licenses are not transferrable and do not attach to the land. They cease on the death of either party, or on the sale of the property. Unlike a personal easement in gross, a license is revocable at any time. Licenses are often granted informally, as a verbal statement of permission"
"A court renders a judgment which authorizes a lien to be placed against the defendant's house, car, and personal belongings. This is an example of a",specific judgment lien,general judgment lien,voluntary judgment lien,superior judgment lien,b,A general lien is one placed against any and all real and personal property owned by a particular debtor. An example is an inheritance tax lien placed against all property owned by the heir. A judgment lien attaches to real and personal property as a result of a money judgment issued by a court in favor of a creditor
What happens in a short sale?,The transaction is completed before the end of the contingency period.,Buyer and seller complete a transaction without the assistance of a licensed agent.,The proceeds of the sale do not cover the seller’s outstanding mortgage loan balance.,The seller agrees to accept less than the listing price.,c,"A short sale occurs when a property owner owes more than resale value and loan pay-off for a property and agrees to let the lender sell the property in exchange for release from the lien. The lender may or may not agree to accept the deficient price as satisfaction and may require the seller to pay the deficiency by way of a deficiency judgment. There may also be tax consequences for the seller. To avoid the deficiency, the seller must make sure that the agreements include a full release of the underlying debt and a statement that it was fully satisfied."
Which of the following scenarios describes a license?,The utility company is granted an easement in gross,A homeowner drills into her yard in search of mineral rights,The owner of an easement allows a landlocked neighbor to access the public road,A new homeowner grants permission for an individual to fish in his pond,d,"In granting a license, the property owner gives permission to an individual to use the property for a specific and personal use that is non-transferrable and does not attach to the land"
Which of the following scenarios is an example of an encroachment?,The branch of an apple tree extends into the neighbor’s yard,A homeowner plants trees in the center of her yard,The owners of a shared easement use it as a place to park their car,An owner grants permission for an individual to build a fence,a,An encroachment is the physical intrusion onto another person’s property without permission
A legal owner must allow the use of a specific area to another individual such as surface rights or airspace.  This is known as,an easement,the termination of rights,the deed restrictions,a restrictive covenant,a,An easement is a real property interest where a non-owning individual has the right to use the land or real property that is legally owned by another individual
Which party has the choice to use the adjoining property at their convenience?,Servient tenement,Mortgagor,Grantor,Dominant tenement,d,The individual who chooses when to use the designated area in a specific way is known as the dominant tenement
Which of the following is an example of an easement in gross? ,An individual using a driveway to reach a fishing pond,An individual using a trail to reach the public road,A representative from a gas company accessing a property to check the gas meter,A family member walking onto the owner’s lawn to set chairs for a party,c,Easements in gross are granted to business entities and attach to the property
"There are two adjacent properties connected by an easement.  Property Owner A must give Property Owner B access to the pathway leading to the pond.  In this case, what is Property Owner A known as in relation to Property Owner B?",Servient tenement,Dominant tenement,Grantor,Mortgagee,a,The legal owner who has the easement is the servient tenement and must allow an individual the right to use the easement
"A property owner cannot be landlocked to a public road.  In these instances, it is necessary for the owner to receive an",easement by gross,easement by prescription,easement by necessity,easement by appurtenant,c,"By law, a parcel of real property must have access to a public road.  This is accomplished by an easement by necessity"
What is an example of a lien?,An outstanding property tax bill,A license issued to fish in the lake,An easement by prescription in the county,A deed restriction that limits land use,a,A lien refers to monies or debt owed that attaches to real property
Which of the following is an example of a voluntary lien?,An unpaid property tax lien,A conventional mortgage loan,An easement to public roads,Transferring title to a family member,b,"A voluntary lien occurs when the individual intentionally incurs a debt, such as a mortgage"
Which of the following liens characterizes a general lien?,An outstanding inheritance tax lien,A specific tax bill attached to a condo unit ,An outstanding property bill on a residential property,A mechanic’s lien attached to a particular townhome,a,"The general lien attaches to any or all personal or real property, whereas a specific lien attaches to a singular parcel of real property or item of personal property"
Which factor generally determines lien priority among junior liens?,The cost of the lien,The date when the lien is recorded,Whether payment will be made by cash or credit,The smallest lien amount due,b,"The date of recordation of the junior lien, with the exception of mechanics’ liens,  determines the lien’s priority"
Who can create a mechanics’ lien?,Office of Recorder of Deeds,County assessor’s office  ,Local municipality,The neighborhood electrician,d,"A service provider or supplier can file a mechanics’ lien for non-payment of labor, materials, and supplies which was incurred in the repair or construction of the real property improvement"
An involuntary lien can be placed on a property under which of the following circumstances?,Purchasing a car with a personal loan,Refinancing on a commercial property,Buying a property without a mortgage  ,Having an equitable lien against a homeowner filed by a court,d,An equitable lien is ordered by the court system and is considered involuntary
A deed restriction typically focuses on,the permitted uses allowed by the property’s zoning,tax assessment and special assessment limitations,how the land will be used,homeowner association  policies,c,A deed restriction is a limitation imposed on a buyer’s use of a property by stipulation in the deed of conveyance or recorded subdivision plat
How does a judicial foreclosure differ from a strict foreclosure?,The mortgagee must file a foreclosure suit with the court in a judicial foreclosure,The mortgagee issues the lien request in a strict foreclosure state,The mortgagor files the lien with the court system in a judicial foreclosure state,The mortgagee requests the legal title from the mortgagor,a,"If the mortgage document does not contain a “power of sale” provision, the lender must file a foreclosure suit with the court to enforce the lien"
Which of the following serves as public notice that a mortgaged property may be in the process of litigation?,Constructive notice,Constructive eviction,Title insurance,Lis pendens,d,Lis pendens gives public notice that the mortgaged property may soon have a judgment issued against it
What occurs when a deficiency judgment is issued in a foreclosure sale?,All debts are forgiven,The deficiency judgment allows for a short sale to occur,The mortgagee requests that a judgment lien be placed on the mortgagor’s assets,This restricts the usage of an easement of necessity,c,"If the sale does not yield sufficient funds to cover the amounts owed, the mortgagee can ask the court for a deficiency judgment against the borrower’s assets to potentially recoup payment"
"In a non-judicial foreclosure, the “power of sale” allows  ",the borrower to retain the house,the lender to file a court judgment,the mortgage to be assumed by the lender,the mortgagee to force the sale of the mortgaged property without a court decree,d,"When there is a “power of sale” provision in the mortgage or trust deed document, a non-judicial foreclosure can force the sale of the property without filing a foreclosure suit through the courts"
What is an example of an encumbrance?,Title insurance,Life estate,Easement,Tax stamps,c,An easement is an encumbrance giving the easement holder the right to use portions of the legal owner’s real property in a defined way
A borrower repays the lender past-due mortgage payments and all associated penalties to terminate the foreclosure process.  The borrower has exercised the right of ,lis pendens,re-instatement,possession,writ of execution,b,"During the notice of default mortgage payments and notice of sale periods, the borrower may pay delinquent amounts to the lender to terminate the foreclosure proceedings"
How is an involuntary easement created?,By applying for a mortgage,By transferring the bundle of rights,By condemning a property through eminent domain,By securing title insurance,c,"Government entities can create easements through the exercise of eminent domain, wherein they condemn a portion of a property and cause it to be sold “for the greater good.”"
Easements can be terminated by which of the following scenarios?,Merging two adjacent parcels owned by different owners ,Adding a third parcel across the street,Granting access to public roads,Having an adverse and hostile party housed in the property,a,An easement can be terminated by merging two parcels where a dominant and servient tenement exist
What right allows the borrower to reclaim a property that has been foreclosed by paying off amounts owed to the mortgagee?,The right of reinstatement,The right of enjoyment,The right of exclusion,The right of redemption,d,"The borrower’s right of redemption, also called equity of redemption, is the right to reclaim a property that has been foreclosed by paying off amounts owed to creditors, including interest and costs"
A specific lien attaches to which of the following items?,Three different parcels across two counties,The air rights spanning two apartment buildings in different states,Ad valorem taxes on luxury purchases,An FHA mortgage on a family house,d,A specific lien attaches to a single item of real or personal property and does not impact other properties owned by the debtor
"When the borrower does not meet the loan obligations during a certain amount of time, the lender has the right to ",reinstate the loan,redeem the loan,accelerate the loan,pardon the loan,c,Accelerating the loan gives the lender the right to accelerate or declare the loan balance and all other sums due on the loan and payable immediately
A ______________ is considered a superior lien,mechanic’s lien,real estate tax lien,mortgage lien ,judgment lien,b,"Superior liens take precedence over all junior liens regardless of recording date, since they are considered to be matters of public record not requiring constructive notice"
A subordination occurs when,a debtor encroaches onto another property,a lienor changes the priority of a junior lien by voluntarily becoming subordinate to it,a specific lien is attached to three properties owned by the mortgagor,a lender places their position as a superior lien,b,A subordination allows a superior lien to change the priority of a junior lien by voluntarily agreeing to be placed lower than the junior lien
"A wood supplier is suing the owner for $150,000.  To prevent the owner from selling the property prior to settling the litigation, the plaintiff can secure   ",a writ of attachment,a writ of exclusion,a writ of enjoyment,a writ of execution,a,"During the course of a lawsuit, the plaintiff creditor may secure a writ of attachment to prevent the debtor from selling or concealing property"
A covenant is established by,mutual agreement as expressed in a contract or other legal document,separation of the bundle of rights,removal of conditions,division of real property and personal assets,a,A covenant can be created by mutual agreement and is generally noted in a contract or some other legal document that details the promise(s)
Which of the following describes a situation when a special assessment lien is issued?,When a franchise fails to pay its taxes,When a deficiency judgment is forgiven,When an increase in ad valorem taxes is scheduled,"When local improvement projects are funded to build new sewers, roads, or power lines",d,The local government imposes taxes to fund projects that benefit that specific municipality
Broker Julia represented and sold Paula’s house but Paula is now refusing to pay the commission.  What type of lien can Julia levy against Paula?,A mechanic's lien,An intangible lien,A broker's lien,A mortgage lien,c,Many states allow a broker in specified circumstances to file a broker’s lien against a property in a transaction in case the party obligated to pay the broker a commission refuses to pay. The lien attaches to the real estate interest owned by the obligated party.
The parties to a short sale are the buyer and seller.  Which of the following is a third party contingency who must approve the sale?,The lender,The Real Estate Commission,The broker,Fannie Mae,a,"After the property is retaken by foreclosure or short sale, it becomes “bank owned.” Forbearance or a loan modification allows the borrower to avoid legal action and keep the property under a new agreement with the lender.
The parties to a short sale are the buyer and seller. The lender is a third party contingency who must approve the sale."
An encumbrance is most broadly defined as,another's right to use a property without the permission of the property owner,another's right to claim the sale proceeds of a property that has been used as collateral for a loan,another's interest in a real property that limits the interests of the freehold property owner,another's right to control how the freehold owner of a real property uses the property,c,"An encumbrance is an interest in and right to real property that limits the legal owner's freehold interest. In effect, an encumbrance is another's right to use or take possession of a legal owner's property, or to prevent the legal owner from enjoying the full bundle of rights in the estate"
Which of the following is true of easements in general?,They involve the property that contains the easement and a non-owning party,"They apply to a whole property, not to any specific portion of the property",They cannot be assigned or transferred,"They may require a specific use, but cannot prohibit one",a,"An easement appurtenant gives a property owner a right of usage to portions of an adjoining property owned by another party. The property enjoying the usage right is called the dominant tenement, or dominant estate. The property containing the physical easement itself is the servient tenement, since it must serve the easement use."
In what kind of easement is there a dominant tenement and a servient tenement?,An easement in gross,A commercial easement,A personal easement,An easement appurtenant,d,"An easement appurtenant gives a property owner a right of usage to portions of an adjoining property owned by another party. The property enjoying the usage right is called the dominant tenement, or dominant estate. The property containing the physical easement itself is the servient tenement, since it must serve the easement use"
"If the owner of property A has a court-ordered easement to drive across property B because it is the only way for A to have access to a public road, the easement is a(n)",easement by prescription,personal easement,easement by necessity,easement in gross,c,"An easement by necessity is an easement appurtenant granted by a court of law to a property owner because of a circumstance of necessity, most commonly the need for access to a property. Since property cannot be legally landlocked, or without legal access to a public thoroughfare, a court will grant an owner of a landlocked property an easement by necessity over an adjoining property that has access to a thoroughfare"
"Property A and property B share a common wall along the property boundary.  To ensure that neither owner destroys the wall, the owners of A and B should create", an easement by necessity,a perpetual encroachment,a license,a party wall easement,d,"Party wall agreements generally provide for severalty ownership of half of the wall by each owner, or at least some fraction of the width of the wall. In addition, the agreement grants a negative easement appurtenant to each owner in the other's wall. This is to prevent unlimited use of the wall, in particular a destructive use that would jeopardize the adjacent property owner's building. The agreement also establishes responsibilities and obligations for maintenance and repair of the wall"
An encroachment is,an easement that has not been recorded on the title of the burdened property,an unauthorized physical intrusion of one property into another,a right granted by a property owner to the owner of an adjoining property to build a structure that protrudes across the property boundary,a structure that does not comply with a zoning ordinance,b,"An encroachment is the unauthorized, physical intrusion of one owner's real property into that of another. Examples of encroachments are: a tree limb extending into the neighbor's property, violating his or her airspace; a driveway extending beyond the lot line onto the neighbor's land; and a fence built beyond the property line"
A court might grant an easement by prescription if,"a municipality needs to dig a trench across an owner's property to install a sewer line to a neighboring property, and the owner refuses permission",a property owner sells the front half of a lot and wants to continue using the driveway to reach the rear of the lot,an intruder has been using an owner's property for a certain period with the owner's knowledge but without permission,a property owner wants to prevent the owner of an adjoining property from building a second-story addition that blocks the sunlight to his rose garden,c,"If someone uses another's property as an easement without permission for a statutory period of time and under certain conditions, a court order may give the user the easement right by prescription, regardless of the owner's desires. For a prescriptive easement order to be granted, the following circumstances must be true: the use has been occurring without permission or license; the owner knows or is presumed to have known of the use; and the use has been generally uninterrupted over the statutory prescriptive period"
Deed restrictions generally concern,the form of ownership in which a property may be held,how long a property must be owned before it can be legally transferred,what groups of people are legally excluded from future ownership of a property,how a property may be used and what structures may be built on it,d,"Deed restrictions typically apply to:  •the land use  •the size and type of structures that may be placed on the property  •minimum costs of structures   •engineering, architectural, and aesthetic standards, such as setbacks or specific standards of construction"
One difference between a condition and a covenant is that,breach of a covenant leads to forfeiture of ownership,a covenant can be enforced in court,a condition can be created at any time,a condition can be created only when there is a transfer of ownership,d,"A condition can only be created within a transfer of ownership. If a condition is later violated, a suit can force the owner to forfeit ownership to the previous owner. A covenant can be created by mutual agreement. If a covenant is breached, an injunction can force compliance or payment of compensatory damages"
The lienee in a lien is the,party who initiates the lien,owner of the property that is subject to the lien,party who has a claim against the owner of the property subject to the lien,property that is given as security for a debt,b,"The creditor who places a lien on a property is called the lienor, and the debtor who owns the property is the lienee"
A lien is a,debt incurred by a property owner,promissory note granted by a property owner as security for a debt,creditor's claim against property as security for a debt of the property owner,document that creates an easement,c,"A lien is a creditor's claim against personal or real property as security for a debt of the property owner. If the owner defaults, the lien gives the creditor the right to force the sale of the property to satisfy the debt"
What kind of interest does a lienor usually have in the liened property?,A possessory interest,Legal ownership of a dominant tenement,A legal interest in a pro rata share of the property,"An equitable interest, except a mortgage lienor in a title-theory state",d,"A lienor generally has an equitable interest in the property, but not legal ownership. The exception is a mortgage lien on a property in a title-theory state. In these states, the mortgage transaction conveys legal title to the lender, who holds it until the mortgage obligations are satisfied. During the mortgage loan period, the borrower has equitable title to the property"
How is a lien terminated?,Payment of the debt that is the subject of the lien and recording of the satisfaction,Transfer of the property that has the lien,Recording of another lien that is superior,Death of the lienor or lienee,a,"A lien terminates on payment of the debt and recording of documents. Payment of the debt and recording of the appropriate satisfaction documents ordinarily terminate a lien. If a default occurs, a suit for judgment or foreclosure enforces the lien. These actions force the sale of the property"
A general lien is a lien,imposed by statutory law,imposed by court order,placed against an individual rather than against any particular property,placed against any and all property owned by an individual,d,A general lien is one placed against any and all real and personal property owned by a particular debtor. An example is an inheritance tax lien placed against all property owned by the heir
"A real estate tax lien, a federal income tax lien, a judgment lien, and a mortgage lien are recorded against a property. Which lien will be paid first when the property is sold?",Real estate tax lien,Federal income tax lien,Judgment lien,Mortgage lien,a,"The category of superior, or senior, liens ranks above the category of inferior, or junior, liens, meaning that superior liens receive first payment from the proceeds of a foreclosure. The superior category includes liens for real estate tax, special assessments, and inheritance tax. Other liens, including income tax liens, mortgage liens and judgment liens, are inferior"
A lien holder can change the priority of a junior lien by agreeing to,change the date of recording,lower the amount of the claim,vacate the lien,subordinate the lien,d,"A lienor can change the priority of a junior lien by voluntarily agreeing to subordinate, or lower, the lien's position in the hierarchy"
Which of the following tax liens is a junior lien?,Special assessment tax lien,Inheritance tax lien,Income tax lien,Ad valorem tax lien,c,Superior liens in rank order:  1. Real estate tax liens   2. Special assessment liens   3. Federal estate tax liens   4. State inheritance tax liens.  Junior liens: priority by date of recording:  •Federal income tax liens  •State corporate income tax liens  •State intangible tax liens  •Judgment liens  •Mortgage liens  •Vendor's liens  •Mechanic's liens (priority by date work was performed)
Foreclosure is,a court-ordered acceleration of loan payments,the final step in a bankruptcy filing,a proceeding to enforce a lien by forcing sale or transfer of a secured property,a proceeding to take equitable title to a property that was liened as security for a mortgage loan,c,"All liens can be enforced by the sale or other transfer of title of the secured property, whether by court action, operation of law, or through powers granted in the original loan agreement. The enforcement proceedings are referred to as foreclosure"
"A property is secured by a mortgage that does not contain a ""power of sale"" clause.  To foreclose, the lien holder will have to",file a deficiency suit,file a foreclosure suit,obtain a deed in lieu of foreclosure,obtain a writ to extinguish the lien,b,"Judicial foreclosure occurs in states that use a two-party mortgage document (borrower and lender) that does not contain a ""power of sale"" provision. Lacking this provision, a lender must file a foreclosure suit and undertake a court proceeding to enforce the lien"
"In a strict foreclosure,",a lender takes title to the liened property directly,a lender receives the proceeds from the forced sale of the liened property,the defaulting owner does not have the opportunity to prevent the foreclosure by paying the amounts owed,a foreclosure suit is optional,a,"A lender takes title to the liened property directly. If a borrower has failed to meet loan obligations in spite of proper notice and applicable grace periods, the lender can accelerate the loan, or declare that the loan balance and all other sums due on the loan are payable immediately"
