Question,A,B,C,D,Correct Answer,Feedback / Explanation
The market value of a parcel of real estate is,an estimate of its future benefits.,the amount of money paid for the property.,its value without improvements.,the most probable price it should bring.,D. the most probable price it should bring.,"An appraisal estimates the market value�""the price a property would most probably bring. The amount of money actually paid for a property is the market price, which may or may not equal the market value. An estimate of a property's future benefits may be used by an appraiser as part of the income approach to value. The value of a property without improvements consists of the value of the land itself."
An appraiser using the GRM (gross rent multiplier) would consider which of the following?,Market price of comparables and adjustments to the subject,Potential rent income and market value,Actual rental income and market value,Capitalization and net operating income,C. Actual rental income and market value,"The GRM (gross rent multiplier) times the rental income will determine the properties market value or anticipated sales price. Comparables and adjustments are used in the sales comparison approach. Market value is what the GRM is determining, not market price which is the actual sale price. Capitalization and net operating income are used in the income approach."
"Change, contribution, and substitution are some of the basic principles that affect what aspect of real estate?",Depreciation,Value,Supply,Demand,B. Value,"Change, contribution, and substitution all affect value�""the most probable price a property will bring. Change relates to the reality that nothing is constant and variations in various aspects of a property will affect its value. Contribution means that the value of any part of property is measured by how it affects the value of the whole property. Substitution says that the maximum value of a property tends to be determined by how much it would cost to purchase an equally desirable substitute property. Depreciation is a loss of value for any reason. Under the principle of supply and demand, when supply increases the value decreases and when demand increases, the value increases."
The term reconciliation refers to which of the following?,Analyzing and weighing the findings obtained by the different approaches to value to arrive at a final estimate of value,The process by which an appraiser determines the highest and best use for a parcel of land,Separating the value of the land from the total value of the property to compute depreciation,Loss of value due to any cause,A. Analyzing and weighing the findings obtained by the different approaches to value to arrive at a final estimate of value,"The three approaches to value typically produce three different values. An in-depth analysis of these values is required to determine the most valid, logical, and reliable approach to be used to provide the final value estimate. Determining depreciation, a loss of value due to any cause, is part of the process of the cost approach. The highest and best use of a property is the single most profitable use for that property. Determining highest and best use is only one of the factors considered in an appraisal prior to choosing an approach to value and reconciliation."
"A homeowner constructs a five-bedroom, brick house with a tennis court and a pool in a neighborhood of modest two-bedroom and three-bedroom homes on narrow lots. The value of the five-bedroom house is MOST likely to be affected by the principle of:",contribution.,progression.,substitution.,regression,D. regression,"The principle of regression suggests that the value of the more expensive, larger, and amenity-rich property will be negatively affected by the surrounding less valuable properties. In a neighborhood of smaller, modest homes, the presence of a larger, more upscale home does not increase its value proportionally because the general neighborhood standards and expectations set by the smaller homes influence how much a buyer is willing to pay for a property in that area. This principle highlights that a property's value is impacted by the value of surrounding properties."
All of the following would require an appraisal EXCEPT:,a VA loan.,a seller-carry loan,a new conventional loan.,an FHA loan.,B. a seller-carry loan,"Appraisals are required for all government-backed loans and loans that conventional lenders; only a seller-carry (seller-financed) loan would not meet this requirement. It would still be recommended that the seller get an appraisal, as good business practice."
The value of a swimming pool or other property amenities is determined by the principle of:,Conformity,Progression,Contribution,Substitution,C. Contribution,The principle of contribution is used to determine value of amenities such as a pool. Substitution underlies all approaches to value and states the market must be used to verify pricing. Conformity is used to determine if property conforms to the area and uses progression and regression.
Capitalization is a mathematical process by which annual net operating income is used to,establish depreciation.,establish effective gross income.,determine replacement cost.,estimate present value.,D,"Capitalization converts the net operating income (NOI) into an indication of value in the income approach to determine the current or present market value. An appraiser estimates the return on investment an investor would demand for the property being appraised. An appraiser will determine replacement costs, reproduction costs, and depreciation for a property when using the cost approach to value. The effective gross income is estimated by deducting an appropriate amount for vacancy and rent loss in an income-producing property."
The characteristics of value include which of the following?,Scarcity,Competition,Balance,Anticipation,A,"The characteristics of value (STUD) are: scarcity, transferability, utility and demand. Scarcity means that there is a limited supply of similar properties. Competition is the interaction of supply and demand causing prices for property to rise or fall. The economic principle of anticipation states that value is created by the expectation that certain events will occur affecting the value of a property. Balance refers to the amount remaining after certain mathematical calculations have been completed."
The listing or asking price of a property in the marketplace should be its:,subjective value.,intrinsic value.,book value.,market value.,D,"Market value is what a property should sell for in an arm's-length transaction between informed parties, neither of which is under undue pressure, and the property has been exposed to the market for a reasonable length of time. The intrinsic value of a property is the result of a person's individual preferences for a given geographic area over other less desirable areas. The subjective value is what a person perceives the value to be based on the benefits to that person. The book value, used for income tax purposes, refers to the value of the property after factoring in the depreciation on the property."
"An appraiser conducting an appraisal of a single-family residence notes that the subject home does not have an attached garage. Three of the comparables chosen by the appraiser include attached, finished garages. To account for the garage that is present in each comparable, but not in the subject property, the appraiser will:",subtract the value of an attached garage from the subject property.,subtract the value of an attached garage from the sales price for each comparable.,add the value of an attached garage to the subject property.,add the value of an attached garage to the sales price for each comparable.,B,"Adjustments are made only to comparable properties- never the subject. If the comparable is better than the subject or has a feature that is present in a comparable but not in the subject, the value of the amenity is subtracted from the sales price of the comparable. If the subject is better than the comparable, the value of the amenity is added."
"A smaller home is surrounded by larger, more expensive homes. The value of the smaller home will most likely",be anticipated to increase for the first five years.,"increase because of the larger, more expensive properties.",decrease because of the larger surrounding properties.,not be affected by surrounding properties.,B,"Under the principle of conformity progression shows the value of a modest, less expensive home will increase if it is located among larger, fancier, more expensive properties. Under regression, a structure that is larger or more luxurious would tend to be valued in the same range of less lavish homes in a neighborhood of modest homes."
"In the cost approach, an appraiser uses which of the following?",Sales prices of similar properties,The property's assessed value as used for tax purposes,An estimate of the building's replacement cost,The owner's original cost of construction,C,"The building's replacement cost is an essential component of the cost approach, along with depreciation and land value. The owner's original cost of construction is not considered in the cost approach. The sales prices of similar properties are considered in the sales comparison approach. The property's assessed value is not used to determine its fair market value."
"When estimating the value of property using the cost approach, all of the following are considered by an appraiser EXCEPT:",quality of materials and workmanship in the original structure.,loss of value due to uncollected delinquent rent.,estimated loss attributable to an outdated heating system.,excessive amount of traffic noise outside the property.,B,"Loss of value due to uncollected delinquent rent is a factor in determining a property's effective gross income in the income approach to value, not the cost approach as this question asks. An outdated heating system, the quality of original materials and workmanship, and traffic noise are considered in the cost approach in determining the depreciation of a property due to deterioration or obsolescence."
All of the following are characteristics of value EXCEPT:,transferability.,utility.,obsolescence.,scarcity.,C,"To have value, a property must have monetary worth based on the desirability of the property. Obsolescence is not a desirable trait and, therefore, takes away from the desirability of the property and the demand for the property. Demand, transferability, scarcity, and utility are all characteristics of a property's value (remembered by the acronym STUD or DUST). Demand is the need or desire for ownership supported by the financial means to satisfy the need. Transferability refers to the relative ease with which ownership rights are transferred from one owner to another. Scarcity means that there is a limited supply of property. Utility refers to the property's usefulness for its intended purposes."
"An appraiser is assigned to appraise a house in an area with very few sales over the past year. One of the comparable properties she chooses is a home similar to the subject property. However, the comparable house recently sold as a foreclosure property. When writing her appraisal report, what action will the appraiser take as a result of the foreclosed sale?",Make a positive adjustment to the sales price of the foreclosed home,Make no adjustment to the foreclosed home,Make a positive adjustment to the value of the subject property,Make a negative adjustment to the sales price of the foreclosed home,A,"A foreclosed home usually will sell for less than fair market value. The appraiser will make a positive, upward adjustment to the sales price of the foreclosed home to compensate for the sale at less than market value. In the sales comparison approach, adjustments are made to the sales prices of comparable properties, never to the subject property."
"In the cost approach to value, the appraiser makes use of the",sales prices of similar buildings in the area.,owner's original cost of the building.,assessed value of the building.,estimated replacement cost of the building.,D,"The cost approach is used to estimate the replacement or reproduction cost of the building. Estimated replacement or reproduction cost less accrued depreciation plus estimated land value equals the estimated value by the cost approach. The owner's original purchase cost is not used in any approach to value since the process is determining current value. The sale of similar buildings is used in the sales comparison approach. Assessed value is used only by taxing authorities, but never in determining market value."
"An appraiser determines that the cost approach is the most reliable approach in determining the value of an older government building. In estimating the value, the appraiser will MOST likely start by determining the:",replacement cost.,gross rent multiplier.,gross effective income,reproduction cost.,A,"The replacement cost is the cost to construct an improvement similar to the subject property, using current construction methods and materials, but not necessarily an exact duplicate. Replacement cost new is more frequently used in appraising older structures because it eliminates obsolete features and takes advantage of current construction materials and techniques. Reproduction cost is the construction cost at current prices of an exact duplicate of the improvement, including both the benefits and the drawbacks of the property. The gross rent multiplier and gross effective income are used in the income approach to value."
An appraiser has been hired to prepare an appraisal on a rented property that includes an elegant old mansion that is now used entirely as an insurance company office. Which approach to value would the appraiser MOST rely on?,Gross rent multiplier approach,Income approach,Replacement cost approach,Sales comparison approach,B,"The income approach is the most appropriate approach for income producing properties such as an office building, even if the building was once a residence. The gross rent multiplier is not an approach to value. It is a process of estimating the market value of income-producing residential property. The sales comparison approach and the replacement cost approach may be used by an appraiser to assist in determining an estimate of value, but these approaches are not as useful or precise as the income approach to that property. Their findings will be weighed less than those of the income approach in the appraiser's final reconciliation."
"To find the value of a property, if the net operating income and the capitalization rate are known, an appraiser using the income approach to value would",multiply the effective gross income by the capitalization rate.,multiply the net operating income by the capitalization rate.,divide the net operating income by the capitalization rate.,divide the capitalization rate by the net operating income.,C,"To find the value, the net operating income (NOI) is divided by the capitalization rate. Remember the IRV formula: Income divided by Rate or Value. In the income approach, I ( NOI) ÷ R (capitalization rate) = Value. If an appraiser knows the NOI and the value of the property, the capitalization rate may be found: NOI ÷ value = capitalization rate. If the appraiser knows the capitalization rate and the value of the property, the NOI can be calculated: value x rate = NOI."
Reconciliation is an appraisal term used to describe,the method used to determine the most appropriate capitalization rate for a property.,an average of real estate values for properties similar to the subject property.,the appraiser's determination of a property's highest value.,the appraiser's analysis and weighing of the findings of all three appraisal approaches,D,"Reconciliation is the process used by the appraiser in determining how much weight should be given to each of the three approaches to value, if any. After considering all the data, the appraiser will estimate a final indication of value. Reconciliation does not mean taking the average of the estimates of value from the approaches; averaging is not used in any part of the appraisal process. It does not determine a highest value, but the fair market value of the property. Determining the capitalization rate is involved in the income approach to value."
Calculating a dollar value for depreciation should be done when using which of the following?,Gross rent multipliers,The income approach to value,The sales comparison approach to value,The cost approach to value,D,"One of the components of the cost approach is the calculation of depreciation caused by wear and tear, functionality of items, or outside influences. The calculation is not used in the sales comparison or income approaches to value. A gross rent multiplier is used in the income approach to value for one-to-four residential rental properties."
An appraiser asked to estimate the value of an existing strip shopping center would probably give the MOST weight to which approach to value?,Cost approach,Gross rent multiplier method,Sales comparison approach,Income approach,D,"The income approach will have the most weight in the analysis of income-producing property. The sales comparison approach will have the most weight in the analysis of single-family residential property. The cost approach may be used as one approach to appraising income property, but the income approach will be given the most weight by the appraiser. The gross rent multiplier method is used in the income approach but to determine value of residential income property."
"In the income approach, all of the following are considered when calculating net operating income EXCEPT",real estate taxes.,management fees.,utilities.,debt service.,D,"Debt service (mortgage payments of principal and interest) is not included in calculating net operating income. Management fees, real estate taxes, cost of utilities, insurance, and other costs to maintain the property are all considered in determining a property's operating expenses."
"In MOST market areas, rents are determined by:",a tenants' union.,HUD.,the local apartment owners' association.,supply and demand factors.,D,"The amount of properties and vacancy determine rent values. If the supply is low and demand is high rents go up. If the supply is high and demand is low rents go down. HUD, tenants' unions, and apartment owner associations do not play a major factor in determining rents."
"An appraiser conducting an appraisal of a single-family home discovers that the subject home has one more bedroom than any of the three comparable properties the appraiser wants to use in the appraisal. To account for the extra bedroom, the appraiser will:",subtract the value of the bedroom from the sales price of each comparable.,add the value of the bedroom to the sales price of each comparable.,subtract the value of the bedroom from the subject property.,add the value of the bedroom to the subject property.,B,"Adjustments are made only to comparable properties, never the subject. If the comparable is better than the subject or has a feature that is present in a comparable but not in the subject, the value of the amenity is subtracted from the sales price of the comparable. If the subject is better than the comparable, as in this situation, the value of the amenity is added to the comparable sales price."
The owners of the smaller model of houses in a neighborhood with larger homes may find that the values of their homes are affected by what principle?,Competition,Progression,Regression,Increasing returns,B,"Under the principle of progression, the smaller homes in an area with larger homes will have their value increased. The principle of regression is the opposite of progression and states that the owners of larger homes in an area with smaller homes may find the values of their homes decrease. Competition is the interaction of supply and demand causing prices for property to rise or fall. Under the principle of contribution the law of increasing returns applies when money spent on improvements to a property produce an increase in income or value."
All of the following are steps in the appraisal process EXCEPT,reconciling the data collected by the approaches used for the subject property.,considering the seller's estimate of the property's value.,gathering specific data on the subject property.,gathering general data for the area of the subject property.,B,"The opinions of a seller as to the value of the property are often not an accurate estimate of value, as the seller's opinion could be based on emotion rather than objective reasoning. In estimating the property's value, the appraiser will gather data on the area of the property and data on the subject property. The appraiser will apply the approach or approaches to value appropriate for the type of property being appraised and will reconcile the data from the approaches to find a final estimate of value."
An appraiser has been employed to estimate the market value of a parcel of vacant land. The resulting appraisal report would NOT include reference to the,highest and best use of the parcel.,physical dimensions of the parcel.,listed price of the parcel.,most probable price the parcel will bring.,C,"The listed price of the parcel is the price that the owner wants for the property. It may or may not be a realistic price or reflect the fair market value of the property. Highest and best use, the most probable price the parcel will bring, and the physical dimensions of the parcel are all applicable to the analysis by the appraiser in determining the market value of the parcel."
Which approach to value would require the value of the land to be calculated separately from the value of the improvements?,Cost approach,Income approach,Sales comparison approach,None of the approaches,A,The cost approach requires a separate estimated value for the land. Estimated replacement or reproduction cost less accrued depreciation plus estimated land value equals the estimated value by the cost approach. Neither the income approach nor the sales comparison approach calculates the value of land separately from the value of a property's improvements.
"When used by an appraiser, the income approach to valuation makes use of which of the following?",Depreciation,Appreciation,Capitalization,Equalization,C,Capitalization is a method of estimating today the future value of an income stream. Depreciation is the loss of value for any reason. Appreciation is an increase of value. Equalization is used by tax assessors and is a process of adjusting the assessed rate in a taxing district to achieve more conformity with other tax districts.
"Economic, environmental, and external obsolescence refer to",lack of maintenance and ordinary wear and tear.,factors outside of the property lines that affect the property's value.,obsolescence that is reasonable and economically feasible to correct.,outdated items and changes in technology.,B,Lack of maintenance and ordinary wear and tear are marks of physical deterioration. Outdated items and outdated technology indicate functional obsolescence in a property. Obsolescence that is economically feasible to correct is curable obsolescence.
"A homeowner constructs an eight-bedroom brick house with a tennis court, a greenhouse, and an indoor pool in a neighborhood of modest two-bedroom and three-bedroom frame houses on narrow lots. The value of this house is MOST likely to be affected by what principle?",Contribution,Substitution,Progression,Regression,D,"Larger lavish homes in a modest neighborhood will be drawn down in value by the modest, less lavish homes. Regression is the opposite of progression. Under progression, the value of a modest home would be higher if it were located among larger, fancier homes. The principle of substitution states value is determined by what the buyer can find to buy that is similar or equal to the property under consideration. The principle of contribution is used to determine the value of adding improvement to the property."
"In the valuation of a large apartment complex, the MOST weight would be given to which approach to value?",Cost approach,All approaches equally weighted,Sales comparison approach,Income approach,D,"The income approach is the primary approach used for income producing properties such as an apartment complex. The cost approach would most likely not be used due to the difficulty of determining a replacement or reproduction cost for the property. The sales comparison approach is most commonly used in the appraisal of single family residences. The process of reconciliation requires the appraiser to weigh which of the three approaches is most appropriate, as they do not have equal weight and may not be averaged together to determine a value."
"In computing the square footage of a single family home, an appraiser measures the external dimensions of the gross living area, which includes all of the following EXCEPT:",a finished basement,a porch,an extra bedroom,a laundry room,B,"To compute the square footage of a single family home, the external dimensions of the building are measured. A garage, porch, patio, or unfinished areas are not used when computing the square footage of a property. Unfinished areas are included in another section of an appraisal report."
The term depreciation refers to the:,capitalized value of lost rental income.,costs incurred to renovate or modernize a building.,value of real estate after the expiration of its useful life.,loss of value in real estate from any cause.,D,"The term ''depreciation'' refers to the loss of value in real estate from any cause either on the property or off the property, or a combination of the two."
The purpose of an appraisal is to:,set the amount of earnest money the seller should accept from a purchaser.,determine the projected income of a property.,set the market price of a property.,estimate the market value of a property.,D,"In an appraisal, the appraiser estimates the market value of the property. They do not determine the market price, which is the price for which the property actually sells, which may be higher or lower than the appraised value or estimated market value. An appraiser may determine the projected income of a property as part of the income approach. Earnest money and other contract considerations do not have an impact on the market value."
"An appraisal differs from a competitive market analysis conducted by a broker, in that an appraisal is based solely on an analysis of properties:",within a broader geographic area.,that have actually sold.,whose listings have expired.,which are currently on the market.,B. that have actually sold.,"An appraisal is based on the analysis of properties that have actually sold. A comparative market analysis (CMA) features properties similar to the subject property in location, size, and amenities. A CMA includes analysis of properties currently on the market; those properties currently listed that compete for buyers with the subject property; properties that have actually sold (recently closed properties); and properties whose listings have expired."
The appraised value of a residence with four bedrooms and one bathroom would probably be reduced because of:,incurable physical deterioration.,functional obsolescence.,curable physical deterioration.,external obsolescence.,B. functional obsolescence.,"Functional obsolescence exists when a property has outmoded or unacceptable physical or design features. A four-bedroom home with one bath is not desirable for buyers. External obsolescence exists due to economic, environmental, or social forces outside a property. Physical deterioration refers to a loss of value because a property has not been maintained properly (deferred maintenance)."
The ability of a community to attract income and business is known as the community's:,economic base.,zoning plan.,market value.,life cycle.,A. economic base.,The economic base measures the ability of a community to attract business and income. Life cycle refers to the expected useful lifetime of equipment or property. Market value is the most probable price a property would bring in an arm's-length transaction under normal conditions on the open market. A zoning plan determines the types of improvements permitted on specific properties in a community.
A CMA or BPO would be acceptable for all of the following EXCEPT:,determining conventional loan value.,setting the estimated rent values.,setting the selling price of a home.,being used to determine what to offer for a property.,A. determining conventional loan value.,"A CMA (competitive market analysis) or a BPO (brokers price opinion) can be used to determine the asking price of a property or for determining rent. But because CMA's and BPO's are opinions of real estate agents or brokers, and are not performed by licensed appraisers, they are generally not acceptable for determining conventional loan values. They are also not acceptable for determining federal loan amounts."
"Defined as a loss in value from any cause, depreciation is generally divided into three categories. The loss of value due to the normal wear and tear on a property is called:",physical deterioration.,economic obsolescence.,functional obsolescence.,external obsolescence.,A. physical deterioration.,Physical deterioration is the loss of value based on the physical wear and tear on the property. It can be either curable or incurable deterioration. External and economic obsolescence are a reduction in a property's value caused by factors outside of the property lines. Functional obsolescence is a loss in value due to such factors as outmoded or unacceptable features of the property itself.
A pizza parlor rents space in a retail shopping center. The business owner bolts a large iron pizza oven to the floor to cook the pizzas. The oven is a(n):,fixture.,real property.,rental fixture.,trade fixture.,D. trade fixture.,"The iron oven is a trade fixture used for a specific business purpose. It is personal property even though it is attached to the rented space. The owner must remove the oven on or before the last day of the lease. A fixture is an item permanently attached to the property and is considered real property. If the restaurant owner assembles and builds an oven in the space that cannot easily be removed, its removal may cause severe damage to the space. If not removed, the oven becomes a permanent fixture, real property belonging to the landlord."
A house with one bathroom serving five bedrooms is suffering from:,external depreciation.,incurable physical deterioration.,functional obsolescence.,curable physical deterioration.,C. functional obsolescence.,A house with one bathroom serving five bedrooms is an example of an outdated design feature that lessens the value of a property. The loss of value may be curable if the anticipated increased value of the property would offset the cost of adding more bathrooms.
"In doing a market analysis, an appraiser found a recently sold property where the owners had just gone through a divorce. The property had been listed for $160,000 for 3 months but was purchased for $140,000 by one of the spouses. Should the appraiser use this as a comparable?","No, because it had only been listed for 3 months","No, because the divorce makes it not an ""at arms' length"" transaction","Yes, the appraiser would use the actual sale price of $140,000","Yes, because it was a comparable type property","B. No, because the divorce makes it not an ""at arms' length"" transaction","""At arm's length"" means transactions involving independent and objective parties with no unrelated motivations that might distort the true value. In this case, the relationship between the owners might have skewed the final sales price, making it an unreliable comparable."
Which appraisal licensing category allows an appraiser to appraise residential property of one unit to four units without regard to transaction value or complexity?,None of these,Associate trainee real estate appraiser,Certified residential appraiser,Certified general real estate appraiser,C. Certified residential appraiser,A Certified Residential Appraiser is qualified to appraise one-to-four residential units without regard to value or complexity.
A normal size section in the Government Rectangular Survey System contains:,160 acres.,36 square miles.,6 square miles.,1 square mile.,D. 1 square mile.,"The Government Rectangular Survey System is a rectangular system of land survey that divides a district into 24-square mile quadrangles from the meridian (north-south line) and the baseline (east-west line). The tracts are divided into 6-mile-square parts called townships, which are in turn divided into 36 tracts of 1 mile by 1 mile squares called sections."
"A real estate agent should tell the buyer, a customer, about which of the following?",A pending or recent zoning change,The lowest price the seller is willing to accept,The seller's motivation for marketing his property,The seller is getting a divorce,A. A pending or recent zoning change,"In this case, because the buyer is the agent's customer (and not a client), the agent doesn't owe fiduciary duty to the buyer and must only share material facts about the property. A zoning change is a ""material fact"" and something that can have a direct impact on the property's value or desirability. For example, if the zoning in a middle class neighborhood on the edge of a growing city was changed from residential to mixed use, it means that a number of homes could be turned into businesses, which would make the property less desirable to people seeking a quiet place to raise a family."
The first step in an appraisal is:,a neighborhood analysis.,a market data comparison.,to define the problem.,to gather information.,C. to define the problem.,"Every appraisal is for a certain purpose (i.e. homeowner request, loan purposes, insurance claims, etc.). Defining the problem in an appraisal would be for the appraiser to identify why the valuation was requested, and move forward with their methodology in regards to proceeding with the appraisal."
"A property has a net income of $30,000. An appraiser decides to use a 12% capitalization rate rather than a 10% rate on this property. What is the result of using the higher capitalization rate?",2% increase in the appraised value,No change in the appraised value,"$50,000 decrease in the appraised value","$50,000 increase in the appraised value","C. $50,000 decrease in the appraised value","To find the answer here, divide the net income by each cap rate- $30,000 ÷ .10 = $300,000 and $30,000 ÷ .12 = $250,000. So using a 12% cap rate rather than 10% resulted in the appraised value dropping from $300,000 to $250,000, a decrease of $50,000."
The capitalization rate on a property reflects which of these factors?,Replacement cost of the improvements,Risk of the investment,Debt service,Real estate taxes,B. Risk of the investment,"Capitalization rate is a real estate valuation measure used to compare different real estate investments. Although there are many variations, a cap rate is often calculated as the ratio between the net operating income produced by an asset and the original capital cost or alternatively its current market value."
Which of these is an example of external obsolescence?,"Leaks in the roof of a warehouse, making the premises unusable and therefore unrentable",Numerous pillars supporting the ceiling in a store,Coal cellar in a house with central heating,"Vacant, abandoned, and run-down buildings in an area","D. Vacant, abandoned, and run-down buildings in an area","External obsolescence, also known as economic obsolescence, is a factor that reduces the value of an improvement because of something external to the property itself. It's not about whether the house is outdated or not, but rather something outside of the home that is causing a lower value. It's usually something that cannot be cured."
Physical deterioration is considered curable whenever:,it does not result in loss of economic utility.,it can be repaired regardless of the cost.,it is caused by lack of maintenance.,the cost to correct the issue is less than the resulting value increase.,D,"Physical deterioration is considered ""curable"" whenever it makes financial sense to fix a problem. For example, let's say an older office building needs to update electric and add bathrooms, repartition offices and fire safety features to meet code for resale. The cost to complete the work is estimated at $2.2 million. However, the building is fully paid for and can easily be sold for $4 million. In this case, curing the defects makes sense. However, if those numbers were reversed, as is often the case, demolishing the building and starting over with a new structure or different use (e.g., retail space, a parking garage, etc.) would be the wiser choice."
A suburban home that lacks indoor plumbing suffers from:,functional obsolescence.,external obsolescence.,incurable physical deterioration.,curable physical deterioration.,A,"Functional obsolescence, a term commonly used in real estate, is a reduction of an object's usefulness or desirability because of an outdated design feature that cannot be easily changed."
"When an appraiser correlates the three approaches into a final estimate, he:",accords the greatest weight to the median value.,reconciles the differences according to the type of property being appraised and the quantity and quality of data available.,averages the estimate.,selects the estimate nearest that desired by the employer.,B,"In order to maintain accuracy and ""transparency"" of his calculations, an appraiser reconciles differences and does not average comparable sales to arrive at a final value."
"If an appraiser is estimating the value of a property using the cost approach, which of these describes what the appraiser should do?",Review the sales prices of comparable properties,Determine the income that the property could produce,Estimate the replacement cost of the improvements,Adjust the subject property's value in comparison to a similar property,C,"In real estate appraisal, the cost approach is one of three basic valuation methods. Using this method, an appraiser will estimate the cost to replace the building using current material prices (so they know the value in today's dollars), minus depreciation."
A feature found in a comparable property that is not present in the subject property will result in:,a reduction adjustment to the comparable's selling price.,an increase adjustment to the subject property's selling price.,an increase adjustment to the comparable's selling price.,the reduction adjustment to the subject property's selling price.,A,"It's important to remember that adjustments are made to the comparable, not the subject property. For example, let's assume two homes are identical in every respect, except the comparable property has a swimming pool the subject home lacks. If the subject property is on the market for $175,000 and a swimming pool typically adds $8,000 to the selling price of homes in that area, the appraiser would deduct $8,000 from the sale price of the comparable rather than adding it to the subject property to make his comparison."
The economic life of an investment property can be described as:,the time over which yield is attributable to the land itself.,the actual age of the property.,"the remaining chronological life of the improvements, unadjusted for depreciation.",the time over which value generated by the investment exceeds its cost of operation.,D,"The economic life of an investment property is simple- how long can it make money? Once a property costs more to operate than it earns, it reaches the end of its economic life."
A recorded subdivision plat is used in the:,lot and block system.,metes and bounds system.,rectangular survey system.,geodetic survey system.,A,Lot and block is the "final" survey of property being readied for development and identifies each individual parcel in a subdivision.
"Mrs. Frankel, an appraiser, is appraising a single-family residence… Which appraisal method gets the most weight?",Gross rent multiplier,Cost approach,Income approach,Market data approach,D,"Market data would be used because it is the most reliable indicator of a home's true value. Since it is a single-family residence rather than a multi-unit investment property, the fact that it is rented (as well as the amount of rent) is irrelevant to the calculations."
Market value is primarily based on:,the “willing buyer” and “willing seller” concept.,tax advantages.,property tax assessed value.,the cost of reproduction.,A,Market value is the price at which something will sell within a reasonable period of time. It is also thought of as the price a willing buyer would pay and which a willing seller would accept to transfer ownership of an asset.
"In the cost approach to value, the appraiser makes use of the:",estimated current replacement cost of the building.,sales prices of similar buildings in the area.,assessed value of the building.,owner’s original cost of the building.,A,"The cost approach is a real estate valuation method that surmises that the price a buyer should pay for a piece of property should equal the cost to build an equivalent building. In cost approach appraisal, the market price for the property is equal to the cost of land plus cost of construction, less depreciation."
An appraiser has been hired to appraise an elegant old mansion now leased as a restaurant. Which approach is most relevant?,Replacement cost,Reproduction cost,Sales comparison,Income,D,"The Income Approach is one of three major groups of methodologies, called valuation approaches, used by appraisers. It is particularly common in commercial real estate appraisal and in business appraisal. It uses the income generated by a property, currently or potentially, to determine value."
An appraiser contracted to determine value of a large apartment building. Which method is MOST useful?,Cost approach,The square foot method,Comparative market analysis,Income approach,D,"The Income Approach is one of three major groups of methodologies, called valuation approaches, used by appraisers. It is particularly common in commercial real estate appraisal and in business appraisal. It uses the income a property currently or potentially could generate to determine value."
"In valuing a single-family residence by the comparison approach, an appraiser would make adjustments to:",both the comparable and the subject property.,the comparable properties.,the subject property.,all current properties being offered for sale.,B,The objective of an appraisal is to arrive at a fair estimate… The most reliable way is to make additions and subtractions from the comparables rather than the other way around.
The Seddon family bought the largest house… its value rose less. This is an example of:,regression.,substitution.,diminishing return.,change.,A,The principle of regression is the reason people are cautioned against owning the most expensive house in the neighborhood. Lower priced homes pull down the value of higher-end properties.
"Looking at shopping centers, the social fiber of the community and distances from schools is called:",site analysis.,social analysis.,the market data approach.,neighborhood analysis.,D,"Neighborhood analysis is a formal process of identifying, measuring and analyzing the influences that help determine a neighborhood's vitality and desirability."
Gross rent multiplier (GRM) is the ratio of the price of investment property to its:,operating expense,capitalization rate,vacancy cost,annual rental income,D,GRM is the ratio of the price of investment property to its annual rental income before considering expenses. Multiply monthly rent by 12 to get annual rent.
"When evaluating data in a neighborhood market survey, a residential property manager will be most concerned with:",trends in population composition.,special utility services.,traffic counts.,opportunity for expansion.,A,"Population composition (age, sex, etc.) is often compared over time using population pyramids and is useful in determining the best marketing demographic."
Susan learned the city will build a multi-unit apartment across the street. She sells before value drops. This is an example of:,contribution.,conformity.,anticipation.,competition.,C,Anticipation is an appraisal principle indicating that value can increase or decrease based on the expectation of some future impact.
A home is the smallest in a neighborhood of large houses. The effect on its value is called:,regression.,substitution.,contribution.,progression.,D,The principle of progression states that a property of lesser value is enhanced through proximity to higher-value properties.
"When appraising a single-family home, an appraiser considers which of the following?",Racial demographics,Properties within a 10-mile radius,Pending property sales,Date sold,D,Considering a property's sale history helps appraisers confirm if current appraised value is reasonable and consistent with physical and market changes.
Price is best described as,what suppliers charge for goods and services,the amount of money consumers are willing to pay for a product or service,the amount of money a buyer and seller agree to exchange to complete a transaction,a control placed on prices by the federal government,c,A price is the amount of money or other asset that a buyer has agreed to pay and a seller has agreed to accept to complete the exchange of a good or service. It is a quantification of the value of an item traded
Four principal determinants of value underlying the price for a product are,"durability, quality, scarcity, and materials","desire, utility, scarcity, and purchasing power","popularity, utility, quality, and discount","desire, costs, convenience, and time",b,The value of something is based on the answers to four questions:  •How much do I desire it?  •How useful is it?  • How scarce is it?  •Am I able to pay for it?
"A town has a rapidly growing population, but there are no longer any vacant lots around the lake to build more houses. In this case, it is likely that the price of existing homes on the lake","will stabilize, since the population must stabilize",will increase,"will decline, since no further building can take place",will not show any predictable movement,b,"The third critical element of value is a product's availability in relation to demand. The air conditioner is quite valuable if there are only five units in the entire city and everyone is hot. On the other hand, the value of an air conditioner goes down if there are ten thousand units for sale in a 500-person market"
