Question,A,B,C,D,Correct Answer,Feedback / Explanation
It is important to be able to distinguish between real and personal property. All the following are real property except which one?,Air space over a city airport,A building attached to the land,A decorative bush planted in the front yard,Gas pumps used by a tenant in a business,D,Gas pumps are personal property (trade fixtures) owned by the tenant.
"Adam grants a life estate to his mother. This life estate is based on the life of Adam’s father. When Adam’s father dies the estate goes back to Adam. While Adam’s father is alive, Adam has what type of interest in the property?",Life estate,Reversionary,Remainder interest,Life estate pur autre vie,B,Adam has a reversionary interest because the property returns to him after the measuring life ends.
Which choice best describes the four criteria for determining if an item is a fixture?,"Intent, attachment, method, agreement","Method, intent, annexation, adaptation","Intent, method, annexation of article, agreement of parties","Intent, method of attachment, adaptation, agreement of parties",D,"Fixture tests include intent, method of attachment, adaptation, and agreement of the parties."
Which of the following items is classified as chattel real?,Fence,Furniture,Mortgage,Mobile home,C,"Chattel real is personal property related to real estate, like leases or mortgages."
What type of legal description would be most likely to reference a recorded plat?,Metes and Bounds,"Lot, block, and subdivision",Rectangular survey system,Government survey system,C,"The rectangular survey system uses townships, ranges, and sections — but for plats, lot and block are common."
A property is advertised “with the use of the tennis courts.” The “tennis courts” are an example of:,Amenities,Perks,Emblements,Easements,A,Easements give legal rights of use; amenities refer to features enhancing property enjoyment.
All the following are true concerning improvements except which one?,Improvements may cost money.,An improvement to a property would ordinarily increase its value.,An improvement to one property may not improve an adjoining property.,The improvement of one property would almost always increase the value of adjoining properties.,D,Not all improvements benefit neighbors; some may have no effect or even reduce value.
"Rights, benefits, and improvements that run with the land are known as:",Chattels,Emblements,Appurtenances,Encumbrances,C,"Appurtenances are rights and privileges tied to the property, passing with ownership."
What is the most significant test of whether an item has become a fixture?,Cost of the item,Intent of parties,Method of attachment,Adaptability of the item to the property use,B,"The primary test is the parties’ intent, supported by attachment and adaptation factors."
"A tenant in a commercial building installed a large sign, which was anchored. This would be considered a/an:",Fixture,Chattel real,Trade fixture,Accession,C,Trade fixtures remain the tenant’s property and must be removed before lease end.
Which of the following items is most likely considered to be personal property?,Fences,Trees,Four claw bathtub,Above ground swimming pool,D,Above-ground pools are movable and therefore personal property.
Each of the following is a freehold estate except which one?,A life estate,Fee simple estate,A life estate pur autre vie,A lease for 50 years on a hunting lodge,D,"Leasehold estates, even long ones, are not freehold estates."
Which of the following is an example of a leasehold estate?,Fee simple absolute,Fee simple defeasible,Fee simple subject to a condition subsequent,Estate for years,D,"Leaseholds are non-freehold estates, and an estate for years is a fixed-term leasehold."
"What type of lease could contain the following language? “Beginning on December 1, 2020, and ending on December 31, 2020 . . ..”",Tenancy at will,Periodic tenancy,Tenancy for years,Tenancy at sufferance,C,A tenancy for years has a defined start and end date.
"During the term of the lease, the lessor holds what interest?",Leasehold,Possession,Remainder,Reversionary,D,The landlord retains a reversionary interest until the lease ends.
When the lessee dies which of the following leasehold estates comes to an end?,Tenancy at will,Holdover tenant,Periodic tenancy,Tenancy for term,A,Tenancy at will ends upon death of either party.
The type of survey system that references degrees is known as:,Plat of subdivision,Metes and bounds,Horizontal Property Plan,Rectangular survey system,B,Metes and bounds use compass bearings and distances.
Joint tenancy has all the characteristics except which of the following?,"Interest, time, title, and possession.",Joint tenants have equal rights of possession.,Heirs of joint tenants retain a survivorship interest.,Joint tenants receive their interest by the same document.,C,"In joint tenancy, surviving owners, not heirs, get the deceased’s interest."
Which type of business entity must generate at least 75% of the income from real estate:,Syndicate,Corporation,Limited partnership,Real estate investment trust (REIT),C,REITs must meet this threshold to maintain tax advantages.
Sally and Mickey plan to buy a home together but want to will their property to their own children from previous marriages. How should they hold title?,Joint tenants,Tenants by entirety,Tenants in common,Tenants in severalty,C,Tenants in common allows each owner to will their share separately.
"An artificial legal entity, created by state laws, which may own property in severalty, is known as a:",Cooperative,Condominium,Corporation,REIT,C,A corporation is a legal “person” that can own property independently.
"Ralph sold his house to Oscar, who did not record the deed, but took residency there. Ralph then sold the same property to Larry, who reviewed the county recorder's records, but did not examine the property. Ralph gave Larry a deed, which Larry recorded. Which of the following would be true concerning title to the property?",Oscar maintains title.,Larry and Oscar are co-owners of the property.,"Larry now owns the property, because he recorded his deed first.",Larry has recourse against Oscar for failure to record.,A. Oscar maintains title.,"In situations like this, the first person to possess or record gets the property. Possession of the property provides constructive notice, so Oscar maintains possession even though he wasn't the first to record."
What is a will written and executed entirely in the handwriting of the testator (person creating the will)?,a holographic will,an invalid will,an intestate will,an inviolable will,A. a holographic will,"A holographic will is defined as a will written and executed entirely in the handwriting of the testator (person making the will). Typically, these days, a will is typed and exists as a digital document/printout, but holographic wills are hand-written (they are rare, and only some states recognize them as legitimate)."
A riparian owner owns land which borders on:,Any body of water,A stream,The ocean,A lake,B. A stream,"Riparian Rights are water rights in regard to a flowing body of water like a river or a stream. Littoral rights are in regards to bodies of water that do not flow, such as a lake or ocean."
A project that is "turn key" is said to be:,ready to be built.,ready for socializing.,ready for occupancy.,ready for rehabilitation.,C. ready for occupancy.,"""Turnkey project"" is term used for a property that is ready for occupancy, ready to be put into immediate use. It is equipped with, or includes, everything needed to operate it."
"In order to avoid successor liability in the buying of a business, which of the following should be filed?",Doctrine of Estoppels,Security agreement,Certificate of clearance,Bill of Sale,C. Certificate of clearance,The buyer or lessee of an existing business might have "successor liability" to the Board of Equalization for an unpaid sales tax. The problem might be avoided by obtaining a certificate of clearance.
In which of the following situations would property always be reassessed?,When Sold,Annually,Every Two years,When a property has been rehabilitated or remodeled,A. When Sold,Property is always reassessed upon sale. This reassessment usually results in a supplemental tax bill. The payment of any increase in property tax due to the reassessment and any resulting supplemental tax bill would then become the responsibility of the buyer.
Property taxes are described as "ad valorem" taxes. "Ad valorem" most nearly means:,according to value.,replacement value.,market value.,reproduction value.,A. according to value.,"By definition, property tax is assessed according to value, so it's an ""ad valorem"" tax."
"Which of the following would be an example of ""boot,"" for income tax purposes?",A decrease in real estate property taxes,An increase in deductible depreciation,Debt relief from a mortgage in a 1031 exchange,A decrease in basis,C. Debt relief from a mortgage in a 1031 exchange,"The term ""boot"" is not used in the Internal Revenue Code or the Regulations, but is commonly used in discussing the tax consequences of a Section 1031 tax-deferred exchange. For example, if a property worth $150,000 is exchanged for a property worth $145,000 plus $5000 cash, the cash is considered the boot. Receipt of boot doesn't disqualify an exchange, but it may result in a taxable gain."
Which of the following items can be deducted for income tax purposes on real estate which is held as personal residence:,Annual depreciation,Losses which occur if the property is sold,Property taxes and mortgage interest,"Expenses of repair, maintenance, and care",C. Property taxes and mortgage interest,"Allowable deductions for personal residence include interest, taxes, and some uninsured casualty losses. If the owner of a condominium pays interest on a mortgage for his share of common areas, he can deduct that interest on his income tax return."
"According to income tax laws, which of the following is true about depreciation of land?",The ACRS method of depreciation can be used when depreciating land,land is not depreciated,Land is considered to be 25% of the total value depreciated,Land has a residual value but improvements do not,B. land is not depreciated,"An Income property owner is allowed to take Depreciation Deductions on his property, but in order to qualify for this type of Deduction, he must have made some kind of improvement or improvements to the property in question. [The Depreciation Deduction is based on the cost of the improvements that were made. The LAND does not depreciate]"
"When a real estate broker speaks of a ""tax shelter,"" they are referring to:",Income tax.,Real Property taxes.,Principal payments.,Net income.,A. Income tax.,"When a real estate broker speaks of a ""tax shelter,"" they are referring to a means of shielding a person from income taxes."
"Under federal income tax law, the ""basis"" of real property is the property's:",cost.,purchase price minus any existing assumed loans.,fair market value.,assessed value prior to sale.,A. cost.,"The ""cost basis"" of a property is the purchase price or investment amount, including commissions and other expenses. Cost basis is used to determine capital gains and capital losses for tax purposes."
In order for an agreement for a transfer of real property to be binding on the buyer and seller it must:,Contain acknowledgement,Be recorded,Contain an offer and acceptance,Be typed,C. Contain an offer and acceptance,"There must be some type of offer and acceptance by the parties for the contract to be binding. [For Example, the transfer of real property by contract must have an offer and acceptance to be binding.]"
Which of the following deeds contains no expressed or implied warranties?,a warranty deed,a bargain and sale deed,a quitclaim deed,a grant deed,C. a quitclaim deed,"A Quitclaim Deed has NO warranties. As opposed to a Grant Deed which has two implied warranties: Number 1: That the Grantor has not already conveyed title to another person; Number 2: That the Estate itself is free from any undisclosed Encumbrances. A Quitclaim Deed Simply conveys the present interest, rights, and title of the Grantor; with no Covenants."
"Legally speaking, an ""attachment"" is a(n):",joint fixture.,lien.,judgment.,assessment.,B. lien.,An attachment is a legal process used to designate specific property owned by a debtor to be transferred to a creditor to cover the cost of the debt. Attachments are considered liens against property.
The "marginal tax rate" is defined as:,The 29% tax rate,22% of gross income,The tax rate which is applied to the last dollar earned,The tax rate which is applied to the next dollar earned,D. The tax rate which is applied to the next dollar earned,Marginal Tax Rate is the tax rate that is applied to the next dollar of taxable earned income.
The cost basis of a single family residence can be adjusted for which of the following?,Room or patio addition,Fire insurance premiums,Mortgage payments,Interest paid on a loan,A. Room or patio addition,An example of an adjusted cost basis would be the addition of a patio on the personal residence [DO NOT factor in mortgage payments in this calculation.]
The purchaser of a sale-leaseback transaction would be least concerned with the:,condition of the improvements.,location of the property.,general credit of the lessee.,depreciated book value of the building.,D. depreciated book value of the building.,"In a sale-leaseback arrangement the seller becomes a tenant, allowing the seller to deduct all of his future rent payments as business expenditures. The buyer in a sale-leaseback agreement is generally not concerned with the seller's book value because they're not getting a loan from a financial institution."
Which of the following is not subject to taxation?,Patents and trademarks,a House,a Boat,Income,A. Patents and trademarks,Intangible personal property is not subject to taxation (although profits made from selling intellectual property are taxable). Real property and tangible personal property are subject to taxation.
"When the owner of a property believes that her property has been over-assessed by the county assessor, and if an appeal to the assessor's office has been denied, she should contact the:",State Controllers Office;,County Tax Collector's Office,County Board of Supervisors;,Assessment Appeals Board;,D. Assessment Appeals Board;,"If a Buyer or any other Property Owner felt that his property has been over-assessed he should first file an appeal with the assessor's office. If that appeal doesn't result in an adjustment, he can make an appeal to the Assessment Appeals Board."
Title to personal property is transferred by:,Chattel mortgage,Security,Notice of bulk transfer,Bill of sale,D. Bill of sale,"Bill of Sale are for personal property, NOT real property. A bill of sale is a document that transfers ownership of goods from one person to another. It is used in situations where the former owner retains possession of the goods. Bills of sale may be used in a wide variety of transactions: people can sell their goods, exchange them, give them as gifts or mortgage them to get a loan. They can only be used: - to transfer ownership of goods that people already own; - to transfer ownership of moveable tangible goods; and - by individuals and unincorporated businesses."
"All of the following are sufficient to convey an interest in real property, except:",leases.,deeds.,bills of sale.,agreements of sale.,C. bills of sale.,"Bills of sale are a written instrument that conveys title to personal property, such as furniture purchased as a part of a home sale. They are not used for real property. This is not the same as a lease, which is personal property that conveys an interest in real property. NOTE - This question was asking you for which one would NOT convey interest in real property. KEYWORD, EXCEPT:"
What is the meaning of a quiet title action:,Court action to remove a cloud on the title,Purchasing property through a dummy transaction,Foreclosure action,An action to quiet a noisy tenant,A. Court action to remove a cloud on the title,A quiet title action is an action by a court to remove a cloud or claim that has been placed on title to property.
Which of the following would be used to clear a defect from the title records?,a lis pendens,a writ of attachment,an estoppel certificate,a suit to quiet title,D. a suit to quiet title,"An owner might bring a ""quiet title"" action to correct a minor mistake in the property description or to remove an easement that's been unused for years. Additionally, they are used when a third party tries to assert some right to the property through a dubious claim. The suit ""quiets the mouth"" of that person and establishes a clear title."
A bill of sale is used to transfer the ownership of what?,Real property.,Personal property.,Fixtures.,Appurtenances.,B. Personal property.,"A written instrument which passes title of personal property, such as furniture purchased as a part of a home sale, from seller to buyer."
"To alienate title to property, one:",Clouds the title,Encumbers the title,Conveys title,Records a homestead,C. Conveys title,Alienation of Title is the conveyance of title. The opposite is Acquisition of Title (To gain possession of title)
"When a governmental body takes private real property for necessary public use, certain legal processes must be followed. Such a taking is an exercise of the right of:",Taxation,Eminent domain,Zoning,Escheat,B. Eminent domain,Eminent domain is a legal strategy that allows a federal or local government to seize private property for public use. The seizing authority must pay fair market value for the property seized.
A written summary of the history of all conveyances and legal proceedings affecting a specific parcel of real estate is called a(n):,title insurance policy.,certificate of title.,affidavit of title.,abstract of title.,D. abstract of title.,"An ""abstract of title"" is a written summary that traces every change of ownership and claim against a property (such as mortgages, liens, and easements). In some cases, the abstract goes back to the last change of title, in others to the first recorded owner. It is part of the title report required by virtually all lenders."
The list of previous owners of conveyance from whom the present real estate owner derives his or her title is known as the:,title insurance policy.,abstract of title.,chain of title.,certificate of title.,C. chain of title.,"The ""chain"" links together the successive owners of a property from the most recent to the original recorded title holder. The chain of title is generally verified by deeds, judgments in lawsuits over title, affidavits, and any other documents which show ownership changes."
A deed to convey property would be SIGNED by:,the grantor.,a notary public only.,any authorized public officer.,the grantee.,A. the grantor.,"The ""grantor"" is the one conveying the property, so he or she signs the deed. An easy way to remember is that when a title ends with an ""or"" it is the giver, or the givOR if that helps you remember. A title that ends with ""ee"" such as a ""grantee"" is the receiver because they recEEve the item."
Involuntary methods of conveying property include all of the following EXCEPT:,quitclaim deeds.,condemnation.,escheat.,adverse possession.,A,"Quitclaim deeds are a form of voluntary conveyance of a property without any warranties. Adverse possession, condemnation, and escheat are all forms of involuntary conveyance of a property."
Which of the following statements is incorrect?,A deed conveys a future interest in real estate if so specified by the grantee.,A deed conveys a present interest in real estate.,A will conveys no interest in real estate until it is probated.,A will conveys no interest in real estate until after the death of the testator.,A,"The ""grantee"" is the person buying the property and he has no right to convey anything until the transfer is complete. At that point, he becomes the new owner and thus the ""grantor"" of any present or future interest he may wish to assign."
Title to real property is conveyed by deed when:,signed by the grantee and delivered to the grantor.,signed by the grantor.,recorded by the grantee.,delivered to and accepted by the grantee.,D,Conveying title is different than recording and must be both signed and delivered by the grantor and accepted by the grantee.
Which is true about restrictive covenants?,They are voidable by successive owners.,They are placed by government agencies in the public record.,They are placed by private parties in a deed.,They are placed by government agencies in a deed.,C,"Restrictive covenants are most commonly associated with subdivisions and community management associations and are intended to maintain consistency within the neighborhood. While viewed as a benefit by most, they do limit the owner's use of the property and are binding on future owners. They are usually put on by the grantor or the developer."
Which of the following rights of ownership in real property do individuals normally not have?,Riparian rights,Eminent domain rights,Severance rights,Reliction rights,B,"Eminent domain is a legal strategy that allows a federal or local government to seize private property for public use. The seizing authority must pay fair market value for the property seized. This is not a right an individual would have. The other government rights are police power, taxation and escheat. A easy way to remember the government powers is to remember the name Pete. Pete stands for Police power, Escheat, Taxation and Eminent domain."
The two requirements which must be observed when governmental units exercise the power of eminent domain are:,"The proposed use must be public, and just compensation must be paid to the owner.","The proposed use must be practical, and just compensation must be paid to the owner.",The proposed use must be both practical and public.,"The inconvenience to the owner must not be greater than the benefit to the public, and the government must justify the taking.",A,"Eminent Domain is when a property is taken by the government because it is necessary for public use. The owner of the private property taken receives just compensation through a process called condemnation. Eminent Domain is not held by individuals, it is one of the government powers. The other government powers you need to know for the exam are police power, taxation and escheat."
"When a dam broke, the flow of water cut away a strip of land from the riverbank. This would be known as:",Reversion,Accretion,Avulsion,Alluvion,C,"Avulsion is an abrupt change in the course of a stream that forms the boundary between two parcels of land resulting in the loss of part of the land. [For example, if a dam breaks and the rushing water washed away a strip of land, this would constitute a Loss of Title by Avulsion.] Accretion is an increase by natural growth or addition. Alluvion is the increase of land when waterborne soil is gradually deposited. Reversion refers to when somebody loses title and title ""reverts"" back to another party."
The main purpose of a deed is to:,Evidence of the change in title or transfer of an interest in real property,Provide a written instrument that can be recorded,Identify the parties involved in real property transfer,Provide evidence of the terms of a real property transaction,A,"Deeds provide evidence of the transfer of title of real property from a grantor to a grantee. Deed requires the grantor must be legally competent, it must be delivered and accepted and contain a granting or action clause. A deed does NOT need to be acknowledged to be valid"
A deed:,can only be recorded in one county.,will not give the grantee the usual protection of recording laws if it is a quitclaim deed.,does not have to be recorded to transfer title.,"gives actual notice of its contents, when recorded.",C,It is not necessary to record a deed for it to effectively transfer title. Deeds are considered officially executed when signed by the grantor.
"A quitclaim deed to a parcel of real property conveys only the present interest, right and title of the:",grantee.,grantor.,occupant.,landlord.,B,"The ""grantor"" is the one conveying the property, so they sign the deed. An easy way to remember is that when a title ends with an ""or"" it is the giver, or the givOR if that helps you remember. A title that ends with ""ee"" such as a ""grantee"" is the receiver because they recEEve the item."
A valid deed must contain:,the grantee's signature.,an acceptance clause.,the lender's signature.,a granting clause.,D,"Deeds provide evidence of the transfer of title of real property from a grantor to a grantee. For a deed to be valid, it must meet the following requirements: 1. The grantor must be legally competent 2. The deed must be delivered and accepted 3. The deed must contain a granting or action clause. In most states, a deed does NOT need to be acknowledged to be valid."
Which of the following would cause a grant deed to be invalid at its inception?,Legal incompetance of the grantor,Legal incompetence of the grantee,It was not acknowledged,It was dated on a legal holiday,A,"Deeds provide evidence of the transfer of title of real property from a grantor to a grantee. To successfully convey a property, a deed must have a grantor that is legally competent, the deed must be delivered and accepted, and it must contain a granting or action clause. A deed does NOT need to be acknowledged or recorded to be valid."
"In order for a grant deed to be effective in transferring title to property, it must:",Be recorded by the county,Be delivered and accepted,Be notarized,Include a documentary transfer tax,B,"Deeds provide evidence of the transfer of title of real property from a grantor to a grantee. To successfully convey a property, a deed must have a grantor that is legally competent, the deed must be delivered and accepted, and it must contain a granting or action clause. A deed does NOT need to be acknowledged or recorded to be valid."
"When a judgment is duly recorded, subsequent buyers and innocent purchasers who are ignorant of the recording have received:",Legal Notice,Actual notice,Passive Notice,Constructive notice,D,"Constructive Notice attaches once a document is recorded. Once recorded, subsequent buyers will be deemed to have received ""Constructive Notice"" regarding the document and its effect on the property in question. This could also be taken by taking possession. Actual Notice is when an individual has first-hand knowledge of something. [For example, if a buyer has knowledge that someone has taken possession of the property that is for sale.]"
An acknowledgment may be taken by a notary public who is:,the grantor in a deed being acknowledged.,the mortgagee in a mortgage being acknowledged.,"an employee of a corporation who has executed an instrument being acknowledged, if the notary is not personally interested.",the grantee in a deed which is being acknowledged.,C,"Acknowledgement is done by a notary. A notary is a public figure authorized to attest to the signing of documents, such as deeds or mortgages. The notary public certifies that they have witnessed the signing of the document by also signing the document and affixing his or her official seal (simply said, they are who they say they are). The acknowledgment may be taken by a notary public who is an employee of the grantor's corporation, but only if the notary public has NO interest in the transaction."
A recorded legal document that gives constructive notice that an action affecting a certain property has been filed in court is called:,a habendum clause.,an estoppel certificate.,a general warranty deed.,a lis pendens.,D,"Lis pendens is Latin for ""litigation pending,"" which will help you to remember that while a lis pendens isn't a lien, it is notice that litigation (a possible lien) is pending. The other terms listed deal with deeds (habendum clause and general warranty deed), or mortgages (estoppel certificate)."
"All of the following may be added to the original cost basis of a property to arrive at an adjusted basis for federal income tax purposes, except:",mortgage payments.,the brokerage commission.,the cost of an improvement.,acquisition expenses.,A,"According to the IRS, ""Your adjusted basis is generally your cost in acquiring your home plus the cost of any capital improvements you made, less casualty loss amounts and other decreases."" An example would be the addition of a concrete patio on the personal residence. Mortgage payments are not included under the IRS's definition. NOTE - This question asks ""All of the following.... EXCEPT"" which means it's looking for a false answer, and it's false that mortgage payments may be added to the original cost basis for tax purposes."
Robert often refers to tax shelters when discussing properties. Robert is primarily referring to:,Income taxes,Real property taxes,Interest income,Mortgage relief,A,"Tax Shelters pertain to Income Taxes. It is a general term used to include any property or other investment which gives the owner certain income tax advantages, such as deductions for property taxes, mortgage interest or depreciation."
"For federal income tax purposes, a taxpayer could adjust the cost basis of their personal residence for which of the following items?",Interest on a loan,The addition of a concrete patio,Economic obsolescence,Fire insurance premiums paid,B,Adjusted Cost Basis is the net cost of an asset after adjusting for various tax-related items. An example of an adjusted cost basis would be the cost related to adding a concrete patio to a personal residence. Mortgage payments are not factored into this calculation.
"As one of the qualifications for a depreciation deduction for income tax purposes, the real property must be:",Encumbered,Improved,Unencumbered,Personal residence,B,"An Income property owner is allowed to take depreciation deductions on his property, but in order to qualify for this type of deduction, he must have made some kind of improvement or improvements to the property in question. [The depreciation deduction is based on the cost of the improvements that were made. The LAND does not depreciate]"
"Sam owned a triplex valued at $150,000 with an adjusted basis of $70,000. King owned a duplex valued at $145,000. Both properties were owned free and clear. They exchanged their properties, with King giving Sam $5,000 in cash. For federal income tax purposes:",both will be taxed on the difference between the value and the basis.,King has a taxable gain.,Sam has a recognized gain.,neither has a taxable gain.,C,"The term ""boot"" is not used in the Internal Revenue Code or the Regulations, but is commonly used in discussing the tax consequences of a Section 1031 tax-deferred exchange. For example, if a property worth $150,000 is exchanged for a property worth $145,000 plus $5000 cash, the cash is considered the boot. Receipt of boot doesn't disqualify an exchange, but it may result in a taxable gain. NOTE - The adjusted basis is irrelevant in regards to whether or not the cash results in a taxable gain for Sam."
The buyer of a commercial property under a sale/leaseback arrangement would be least concerned with:,the depreciated book value of the building.,the credit rating of the seller.,the location of the property in the general community.,the condition of the building.,A,"In a sale-leaseback transaction, the seller becomes a tenant of the new buyer, which allows the seller to deduct all of his future rent payments as business expenses. In these types of arrangements, the buyer is generally not concerned with the book value- instead, they are concerned with the income generated by the business of the seller."
Which of the following would not be subject to property tax?,Intangible personal property,"Possessory interests of lessees in tax-exempt public property, such as leases on oil and gas properties",Vacant land located in an unincorporated area of the county,Mobile homes properly installed on a permanent foundation,A,Intangible personal property is not subject to taxation. Real property and tangible personal property are subject to taxation.
"The seller conveyed a quitclaim deed to the buyer. Upon receipt of the deed, the buyer may be certain that:",The buyer now owns the property subject to certain claims of the seller.,The seller owned the property.,There are no encumbrances against the property.,All of the seller's interests in the property belong to the buyer.,D,"It's important to remember that quit claim deeds have no guarantees beyond the signer's declaration that he or she is giving up all claims to the title. Accordingly, they are generally used to clear up minor issues and almost never as the primary form of transferring ownership."
Which of the following is a means of transferring title from one party to another?,a title search,an abstract of title,title insurance,a deed,D,"Deeds are the written form by which land is transferred from one owner to another. In order to be legal, they must be executed, delivered by the current owner and accepted by the new owner."
"When a company furnishes materials for the construction of a house and is subsequently not paid, it may file a(n):",mechanic's lien.,estoppel certificate.,deficiency judgment.,lis pendens.,A,"A mechanic's lien is the first, and usually most cost-effective, step for a person providing labor and/or materials to a homeowner to recover monies owed--in large part because of the pressure it puts on the homeowner to settle quickly and without costly court involvement."
What is the opposite of "alienation?",Hypothecation,Subrogation,Subordination,Acquisition,D,"Alienation of title is the conveyance of title, so the opposite is the acquisition of title."
"Recorded title to a parcel of real property was vested in Jill Martinez, a single woman. After her marriage to Josh Cohen, she executed a deed to the property only in the name of Jill Cohen, a married woman. The discrepancy in the grantor's name is:",not important as long as the property is adequately described.,a defect which could cause separate property of both spouses to become joint tenancy property.,cured after the deed is on freehold for one year.,a defect which may cause a cloud on the title.,D,"A ""cloud on title"" means there is something affecting the title that may prevent its transfer. For example, if a single woman gets married and she purchased real property prior to marriage, then executed the grant deed in her married name, a discrepancy would arise regarding the grantor's name. This might constitute enough of a defect to result in a cloud on the title."
Title to real property can be acquired by an individual by all of the following methods except:,succession.,prescription.,escheat.,land patent.,C,"Escheat is a reversion of property to the state in the absence of an individual owner. It usually occurs when a property owner dies intestate (without a will), and without heirs. An individual CANNOT acquire property through Escheat."
"""Intestate succession"" occurs when:",Not all heirs are named in a formal will.,The deceased leaves only a holographic will.,There is a will.,There is no will.,D,"Intestate succession occurs when someone dies without leaving a will, or leaving an invalid will so that the property of the estate passes by the laws of succession rather than by the direction of the deceased."
Which of the following deeds would least likely contain implied covenants by the grantor?,Gift deed,Quitclaim deed,Warranty deed,Grant deed,B,"A Quitclaim Deed is a deed operating as a release; intended to pass any title, interest, or claim which the grantor may have in the property, but not containing any warranty of a valid interest or title in the grantor."
Which of the following is not essential to a valid deed?,A granting clause,Grantor is legally competent,It must be acknowledged by a notary or public official,It must be in writing,C,"Deeds provide evidence of the transfer of title of real property from a grantor to a grantee. The deed requires the grantor to be legally competent; it must be delivered and accepted, and it contains a granting or action clause. In most states, a deed does NOT need to be acknowledged by a notary or public official to be valid."
A lis pendens:,only affects title to real property if the owner is not a party to the lawsuit.,can only be removed from the public records by a court order.,can be recorded no matter what the type of lawsuit is.,may affect title to real property based on the results of the lawsuit.,D,"A ""lis pendens"" is a legal document which gives notice that an action or legal proceeding (mechanic's lien filing, foreclosure) is pending in the courts that could affect the title to the designated property."
An order from a court to a designated official to sell property in order to pay a judgment is called:,A writ of execution,A deficiency judgment,An attachment,A foreclosure,A,"A court order instructing an officer of the court to carry out the decision of the court, such as the selling of foreclosed property or the removal of a tenant at sufferance."
"In making the decision of whether or not to issue a title policy, the title insurance company would be most concerned with those documents that appear within the:",chain of title.,title report.,title guarantee.,title search.,A,"The chain of title is the history of all of the documents that transfer title to a parcel of real property, starting with the earliest existing document and ending with the most recent. Note that the chain of title only tracks documents that transfer title to a property."
A title insurance company official would have known that an "abstract of title” is a:,Standard form that is used in the industry,Closing statement from the title insurance company,Clause that describes the land,Written summary of documents relating to the title of the property,D,"An abstract of title is a summary of the history of the ownership of a property, starting with the original grant, and including all subsequent encumbrances and conveyances."
A buyer would want which of the following removed from a preliminary title report?,A mechanic's lien.,An appurtenant easement over adjacent property.,C.C. and R's.,A quitclaim deed.,A,"A preliminary title report is issued early in the transaction to reveal all matters that presently affect the title, such as liens or judgments on the property or easements and covenants. A buyer would not be pleased to see a mechanic's lien on the report and would most likely want that taken care of."
A standard title insurance policy insures against:,An easement by prescription,A recorded deed in the chain of title that was not properly delivered,Losses sustained by improved property only,Claims of persons in possession of the property,B,"Standard policy of title insurance protects against forgery and improper delivery, however, it does not include a survey or on-site inspection."
"There are several differences between an extended coverage policy of title insurance and a standard coverage policy of title insurance. Which of the following is insured under the extended policy, but not under the standard policy?",Detrimental zoning ordinances,The results of a forged deed in the chain title,The lack of capacity of one of the parties to any transaction involving title to the land,The possibility that some improvements on the insured property are located on adjoining land,D,Extended policy covers improvements on adjoining land.
"Although a title insurance policy does cover the risk of loss for many reasons, which of the following risks is not covered in a title insurance policy?",An unpaid city tax not shown in the policy,"A change in zoning ordinance, regulation or plan",A document in the series of records is forged,Failure of husband or wife to sign the deed,B,Title insurance generally doesn't cover changes in zoning or city regulations.
Which type of policy will cover everything?,Extended policy,An all-inclusive title policy,ALTA policy,No policy covers all risks,D,Title insurance policy is a policy that protects a buyer against errors or omissions or defects in the title of the property. No title insurance policy covers everything.
A title company could make a title search by searching the records of the:,"County Recorder's, Federal Land and County Clerk's office",County Recorder's office,Federal Land office,County Clerk's office,A,A title search is a review of all recorded documents affecting a specific piece of property to determine the present condition of title.
"An agreement wherein one party agrees to reimburse the other party for damages suffered in the event of a clearly defined risk, in exchange for payment of monetary consideration, is commonly known as:",A lease agreement,A management agreement,An insurance policy,A fidelity bond,C,"Insurance is the promise of reimbursement for damages for the promise to pay. With respect to Fire Insurance, the policy should allow the insured to neither gain nor lose in the event of claim."
The IRS (Internal Revenue Service) would define marginal tax rate as:,The tax rate which is used for the next dollar of taxable income,The difference between the present tax rate and the past tax rate,None of the other options are correct,The tax rate used for your state income taxes,A,Marginal Tax Rate is the tax rate that is applied to the next dollar of taxable earned income.
"A written instrument which passes title of property, such as furniture purchased as a part of a home sale, from seller to buyer would be a:",Lease,Bill of sale,Title,Deed,B,"Bills of Sale are written instruments which passes title of personal property, such as furniture purchased as a part of a home sale, from seller to buyer. They are not used for real property. A Bill of Sale transfers title to personal property in much the same way that a deed transfers title to real property."
"An apartment house was purchased for $180,000. At the time of purchase, it had a fair market value of $200,000, and an assessed value of $140,000. The basis of the property for federal income tax purposes would be:","$140,000 ","$240,000 ","$200,000 ","$180,000 ",D,"Basis is the value placed upon property for purposes of capital gains and depreciation. The basis upon purchase of real property for investment purposes is generally the cost referred to as the original cost basis, so in the case the purchase price of $180,000 is the property's basis for tax purposes."
Which of the following would alienate title to property:,Recording a homestead.,Conveying title.,Clouding the title,Securing an ALTA policy of title insurance,B,Conveying the title will alienate (transfer from one owner to another) the title to property.
