Question,A,B,C,D,Correct Answer,Feedback / Explanation
Which type of maintenance is necessary for the day-to-day functioning of the property?,Preventive maintenance,Corrective maintenance,Capital upgrades,Routine maintenance,d,Routine maintenance activities are those necessary for the day-to-day functioning of the property. Regular performance of these activities helps to keep tenants satisfied as well as forestall serious problems requiring repair or correction
Which type of maintenance becomes mandatory when repairs and replacements are required to keep the property operational?,Preventive maintenance,Corrective maintenance,General maintenance,Routine maintenance,b,"When routine and preventive maintenance fail, repairs and replacements become mandatory to keep the property operational. A boiler may develop a leak, an air-conditioning unit may break down, an elevator may cease to function properly"
Alterations made specifically for certain new tenants are defined as,build-outs,trade fixtures,personalty,renovations,a,Alterations made specifically for certain tenants are called build-outs or tenant improvements
"When debt service is subtracted from net operating income, the result is",potential gross income,effective gross income,net operating income,cash flow,d,"The total of scheduled rents plus revenues from such sources as vending services, storage charges, late fees, utilities, and contracts is the potential gross income. Subtracting losses caused by uncollected rents, vacancies and evictions gives effective gross income. Operating expenses are subtracted from this total to show net operating income. When debt service is subtracted, the result is cash flow"
Which of the following must a manager consider when setting rents?,The tenant’s ability to pay,The neighborhood’s amenities,The prevailing rents of comparable properties,The cost of preventive maintenance,c,"Rental income must be sufficient to cover fixed expenses, operating expenses, and desired return on investment. But rental rates must also be realistic, taking into account what is happening in the market. The manager must consider prevailing rents in comparable properties as well as vacancy rates in the market and in the property. The manager must make a detailed survey of competitive space"
Which of the following statements is true regarding the Equal Credit Opportunity Act (ECOA)?,The ECOA prohibits discrimination in lending and does not apply to property managers,The ECOA applies to how property managers evaluate tenants,The ECOA encourages the use of different rental forms for different applicants,The ECOA encourages managers to use different credit requirements for minorities,b,"The Equal Credit Opportunity Act, which prohibits discrimination in lending, applies to how property managers evaluate potential tenants. The manager must be consistent in evaluating the creditworthiness of applicants. The same application forms and the same credit requirements should be used with all applicants"
A multi-peril insurance policy may allow special coverage for,bankruptcy,errors and omissions,environmental hazards,terrorism,d,"The owner may opt for a multi-peril policy which combines standard types of commercial policies and may allow special coverage for floods, earthquakes, and terrorism"
A leasehold estate may include all of the following forms of occupancy EXCEPT,tenancy for years,joint tenancy,period-to-period,sufferance,b,"A leasehold estate may grant tenancy for years, from period-to-period, at will, and at sufferance. Joint tenancy is a form of freehold estate, not leasehold"
"Trade fixtures, generally speaking, belong to the",building,landlord,tenant,property manager,c,"Trade fixtures generally belong to the tenant and can be removed when the tenant leaves. Some state laws, however, may dictate that certain trade fixtures once installed are real property"
"Like the grantor of a life estate, the grantor of a leasehold estate",retains a future interest in the estate,cannot terminate the agreement until death,conveys the full bundle of rights to the lessee,conveys a future interest to the lessee,a,"Like the grantor of a life estate, the grantor of a leasehold estate retains a future interest in the estate. The lease grants a number of rights to the property, including, primarily, the rights to enter, possess, and use the property for the term of the lease. The lessee does not enjoy the full bundle of rights to the property"
A default occurs when _____________________ violates any of the terms or covenants of the lease,either the tenant or landlord,the tenant,the landlord,the property manager,a,"A default occurs when either the tenant or landlord violates any of the terms or covenants of the lease. The damaged party may sue for damages, specific performance (of the breached obligation), or cancellation of the lease"
The lease and/or the law may specify that a landlord may enter the tenant's property under which of the following conditions?,To perform a routine security inspection,To review the tenant’s thermostat levels,To collect the rent,To perform a needed repair,d,"Commonly, the landlord retains a right of entry into the premises in order to perform needed repairs and maintenance on a property. The lease and/or the law may specify that a landlord may enter the tenant's property only under one or more of the following conditions: An emergency requires the landlord to enter, The tenant gives consent to enter, The landlord enters during normal business hours and only after giving notice to either make repairs or to show the property to prospective tenants, purchasers or contractors, The tenant has abandoned or surrendered the property, The landlord has a court order allowing the entry"
A periodic leasehold or tenancy at will may be terminated by proper notice given by which of the parties?,The tenant,The landlord,The tenant or the landlord,Neither party may terminate a tenancy at will,c,A periodic leasehold or tenancy at will may be terminated by proper notice given by either party – the landlord or the tenant
"Excluding a life estate or tenancy at will, which of the following actions does not terminate a lease obligation?",Foreclosure,Eminent domain,Landlord’s death,Condemnation,c,"A tenancy at will terminates on the death of either party. The landlord's death terminates any lease if the landlord held the leased property under a life estate, since the landlord cannot convey an interest that extends beyond the landlord's life"
The landlord’s rights and responsibilities include all the following EXCEPT,the right of quiet enjoyment,use only for intended purposes,provide habitable conditions,give proper notice,a,"The landlord maintains the right to enter the premises, receive payments, retake on termination, and pursue remedies for tenant’s default"
The landlord is expected to maintain a habitable property for tenants. This means that the landlord at the very least must,dispose of the garbage and waste found in the rental unit,keep the rental unit clean and sanitary,cover the heating cost of the unit,provide pest control,d,"The landlord (by way of the property manager), is expected to deliver a habitable property. This means that the land lord at the very least must: keep the heating, cooling, electrical, and plumbing systems in good working condition, keep floors, stairways and railings safe and in good repair, provide pest control as needed, repair roof leaks and broken windows promptly"
The management agreement creates a fiduciary relationship between which of the following parties?,The lessor to the lessee,The property manager to the lessee,The property manager to the owner,The owner to the property manager,c,"The management agreement establishes an agency agreement between manager and owner as well as specifying such essentials as the manager's scope of authority. The agency relationship creates the fiduciary duties of obedience, care, loyalty, accounting, and disclosure owed to the owner by the property manager"
An owner's insurance policies typically do not cover,personal items owned by the tenant,workers’ compensation,consequential loss,property coverage for building contents,a,The owner's policies do not cover what is owned by the tenant. Tenants should obtain their own renter's or tenant's insurance to cover personal belongings
A court may hold a manager and owner responsible for which of the following?,The dangerous and criminal activity in the neighborhood,The physical safety of the tenants in the leased premises,The physical safety of the tenants in the community,The tenant’s personal stolen items,b,"A court may hold a manager and owner responsible for the physical safety of employees, tenants, and customers in leased premises"
Which of the following actions is not a risk management strategy?,Closing off a dangerous area of the building,Installing a fire alarm in the building,Buying an insurance policy,Installing an elevator in a 4-story building,d,"Risk management strategies include the following: avoidance-removing the source of the risk, such as by closing off a dangerous area of the building, reduction-taking action to forestall the event before it happens, such as by installing fire alarms, sprinklers, and security systems, transference-shifting the risk to someone else by buying an insurance policy, retention-taking the chance that the event is not likely enough to occur to justify the expense of one of the other strategies; self-insurance"
Holly just bought a farm that consists of exactly 1/2 of a section. How many acres is this farm?,"1,280 acres",640 acres,320 acres,160 acres,c,640 acres of a section divided by 2 = 320 acres
"You are a salesperson with Performance Programs Brokerage and you just sold your first property for $800,000. The commission is 6% and co-brokerage split is 50-50. You negotiated a 65%-35% agent-broker split rate. How much will you receive as a commission?","$48,000","$24,000","$20,500","$15,600",d,"$800,000 x 6% = a total commission of $48,000 for all parties. Your brokerage gets 50% which is $24,000. You get 65% of the $24,000 which is $15,600."
"A property is listed for $415,000 and receives an offer for $435,000. How much is the offer as a percent of the listing price (rounded to the nearest percent)?",105%,103%,97%,95%,a,"$435,000 / $415,000 = 104.82% Round up to 105% of listing price"
"Phillip wishes to value his new investment property utilizing a GRM (gross rent multiplier). The property grosses $3,500 in monthly rent and typical GRMs in the area are 140. What is valuation based on this data?","$350,000","$490,000","$140,000","$588,000",b,"$3,500 x a GRM of 140 = $490,000"
"Devan decided to proceed with a $600,000 interest-only loan that has monthly interest payments of $3,250 (annual total of $39,000). What is the interest rate of this interest-only loan?",5.50%,6.50%,7.25%,4.75%,b,"$39,000 is the annual interest total. Divide that by the total interest only loan to discover the interest rate. $39,000 / $600,000 = 6.5%"
"Comparable A on a CMA has one more bedroom and one more bath than the subject. However, it has 400 SF less living area. If the comp sold for $1,000,000 and bedrooms are valued at $50,000, the baths @ $25,000, and living area @ $30,000, what is the indicated value of the subject?","$1,045,000","$995,000","$985,000","$955,000",d,"Adjust the comparable. $1,000,000 - $50,000 (for bedroom) - $25,000 (for bathroom) + $30,000 (for square feet surplus) = $955,000 value for the subject."
"A borrower pays $12,000 for points on a $400,000 loan. How many points was she charged by the lender for points?",4.8 points,9 points,3 points,40 points,c,"$12,000 / $400,000 = .03 = 3 points"
"A borrower must have a 80%-20% LTV ratio on his financing package to avoid a higher interest rate. If the borrower has $400,000 cash, how much house can he buy without incurring a higher interest rate?","$1,600,000","$1,800,000","$1,500,000","$2,000,000",d,"$400,000 is divided by .2 to calculate a 80-20 LTV. $400,000 / .2 = $2,000,000"
"An apartment building has an NOI of $400,000, current-year reserve expenses of $40,000, interest expense of $260,000, and annual depreciation of $100,000. What is this property's tax liability for the year if the tax bracket is 28%?","$39,200","$28,000","$22,400","$112,000",c,"To calculate tax liability we first need taxable income. That is found via NOI + reserves - interest expense - depreciation. So that is $400,000 + $40,000 - $260,000 - $100,000 = a taxable income of $80,000. $80,000 X 28% = $22,400"
"The current mill rate on a property totals 17 mills. The taxable value of a property is $500,000. What is the tax on this property?","$8,500",$850,"$1,700","$34,000",a,"17 mills = 1.7% of the property's value. $500,000 X .017 = $8,500"
"A homeowner sells her property on February 1. Annual taxes on the property are $1,800. What is the buyer's credit for the tax bill? Assume the seller owns the day of closing, and use the 365-day method","$1,640 buyer credit","$1,640 seller debit",$158 debit to the buyer,$158 credit to buyer,d,"Property taxes are paid in arrears meaning the buyer will receive a credit for the first 32 days of the year. $1,800 / 365 = $4.93 per day. $4.93 x 32 = $157.76 rounded up to $158 as a credit to the buyer."
